"COVID-19-Associated Hospitalization Rates (per 100,000 population) for the COVID-NET Network (downloaded on "Aug-09-2020)
Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Minnesota,EIP,2020,2020,13,0-4 yr,0,0
Michigan,IHSP,2020,2020,13,0-4 yr,0,0
Maryland,EIP,2020,2020,13,0-4 yr,0.6,0.6
Entire Network,IHSP,2020,2020,13,0-4 yr,0,0
Iowa,IHSP,2020,2020,13,0-4 yr,0,0
Georgia,EIP,2020,2020,13,0-4 yr,0,0
Entire Network,EIP,2020,2020,13,0-4 yr,0.5,0.5
Connecticut,EIP,2020,2020,13,0-4 yr,0,0
Entire Network,COVID-NET,2020,2020,13,0-4 yr,0.4,0.4
Colorado,EIP,2020,2020,13,0-4 yr,1.2,1.2
California,EIP,2020,2020,13,0-4 yr,0.5,0.5
California,EIP,2020,2020,14,0-4 yr,0.5,0
Colorado,EIP,2020,2020,14,0-4 yr,4.8,3.6
Entire Network,COVID-NET,2020,2020,14,0-4 yr,1,0.6
Connecticut,EIP,2020,2020,14,0-4 yr,2,2
Entire Network,EIP,2020,2020,14,0-4 yr,1.2,0.7
Georgia,EIP,2020,2020,14,0-4 yr,0,0
Iowa,IHSP,2020,2020,14,0-4 yr,0,0
Entire Network,IHSP,2020,2020,14,0-4 yr,0,0
Maryland,EIP,2020,2020,14,0-4 yr,1.4,0.8
Michigan,IHSP,2020,2020,14,0-4 yr,0,0
Minnesota,EIP,2020,2020,14,0-4 yr,0,0
New Mexico,EIP,2020,2020,14,0-4 yr,0,0
New York,EIP,2020,2020,14,0-4 yr,2.7,0.9
Ohio,IHSP,2020,2020,14,0-4 yr,0,0
Oregon,EIP,2020,2020,14,0-4 yr,1,0
Utah,IHSP,2020,2020,14,0-4 yr,0,0
Tennessee,EIP,2020,2020,14,0-4 yr,0,0
Utah,IHSP,2020,2020,15,0-4 yr,0,0
Tennessee,EIP,2020,2020,15,0-4 yr,0.9,0.9
Oregon,EIP,2020,2020,15,0-4 yr,1,0
Ohio,IHSP,2020,2020,15,0-4 yr,0,0
New York,EIP,2020,2020,15,0-4 yr,2.7,0
New Mexico,EIP,2020,2020,15,0-4 yr,1.4,1.4
Minnesota,EIP,2020,2020,15,0-4 yr,0,0
Michigan,IHSP,2020,2020,15,0-4 yr,0,0
Maryland,EIP,2020,2020,15,0-4 yr,2.2,0.8
Entire Network,IHSP,2020,2020,15,0-4 yr,0.3,0.3
Iowa,IHSP,2020,2020,15,0-4 yr,12.1,12.1
Georgia,EIP,2020,2020,15,0-4 yr,0,0
Entire Network,EIP,2020,2020,15,0-4 yr,1.6,0.5
Connecticut,EIP,2020,2020,15,0-4 yr,2,0
Entire Network,COVID-NET,2020,2020,15,0-4 yr,1.4,0.5
Colorado,EIP,2020,2020,15,0-4 yr,6,1.2
California,EIP,2020,2020,15,0-4 yr,1,0.5
California,EIP,2020,2020,16,0-4 yr,1,0
Colorado,EIP,2020,2020,16,0-4 yr,8.9,3
Entire Network,COVID-NET,2020,2020,16,0-4 yr,2,0.6
Connecticut,EIP,2020,2020,16,0-4 yr,2,0
Entire Network,EIP,2020,2020,16,0-4 yr,2.3,0.7
Georgia,EIP,2020,2020,16,0-4 yr,0,0
Iowa,IHSP,2020,2020,16,0-4 yr,12.1,0
Entire Network,IHSP,2020,2020,16,0-4 yr,0.3,0
Maryland,EIP,2020,2020,16,0-4 yr,3.3,1.1
Michigan,IHSP,2020,2020,16,0-4 yr,0,0
Minnesota,EIP,2020,2020,16,0-4 yr,0.5,0.5
New Mexico,EIP,2020,2020,16,0-4 yr,1.4,0
New York,EIP,2020,2020,16,0-4 yr,2.7,0
Ohio,IHSP,2020,2020,16,0-4 yr,0,0
Oregon,EIP,2020,2020,16,0-4 yr,1,0
Utah,IHSP,2020,2020,16,0-4 yr,0,0
Tennessee,EIP,2020,2020,16,0-4 yr,1.8,0.9
Utah,IHSP,2020,2020,17,0-4 yr,0,0
Tennessee,EIP,2020,2020,17,0-4 yr,1.8,0
Oregon,EIP,2020,2020,17,0-4 yr,2,1
Ohio,IHSP,2020,2020,17,0-4 yr,0,0
New York,EIP,2020,2020,17,0-4 yr,2.7,0
New Mexico,EIP,2020,2020,17,0-4 yr,1.4,0
Minnesota,EIP,2020,2020,17,0-4 yr,0.5,0
Michigan,IHSP,2020,2020,17,0-4 yr,1.5,1.5
Maryland,EIP,2020,2020,17,0-4 yr,4.1,0.8
Entire Network,IHSP,2020,2020,17,0-4 yr,0.7,0.3
Iowa,IHSP,2020,2020,17,0-4 yr,12.1,0
Georgia,EIP,2020,2020,17,0-4 yr,0,0
Entire Network,EIP,2020,2020,17,0-4 yr,2.9,0.5
Connecticut,EIP,2020,2020,17,0-4 yr,2,0
Entire Network,COVID-NET,2020,2020,17,0-4 yr,2.5,0.5
Colorado,EIP,2020,2020,17,0-4 yr,10.7,1.8
California,EIP,2020,2020,17,0-4 yr,2,1
California,EIP,2020,2020,18,0-4 yr,2,0
Colorado,EIP,2020,2020,18,0-4 yr,11.3,0.6
Entire Network,COVID-NET,2020,2020,18,0-4 yr,3.1,0.6
Connecticut,EIP,2020,2020,18,0-4 yr,2,0
Entire Network,EIP,2020,2020,18,0-4 yr,3.5,0.6
Georgia,EIP,2020,2020,18,0-4 yr,0.4,0.4
Iowa,IHSP,2020,2020,18,0-4 yr,12.1,0
Entire Network,IHSP,2020,2020,18,0-4 yr,1,0.3
Maryland,EIP,2020,2020,18,0-4 yr,6.4,2.2
Michigan,IHSP,2020,2020,18,0-4 yr,2.9,1.5
Minnesota,EIP,2020,2020,18,0-4 yr,0.5,0
New Mexico,EIP,2020,2020,18,0-4 yr,1.4,0
New York,EIP,2020,2020,18,0-4 yr,2.7,0
Ohio,IHSP,2020,2020,18,0-4 yr,0,0
Oregon,EIP,2020,2020,18,0-4 yr,2,0
Tennessee,EIP,2020,2020,18,0-4 yr,1.8,0
Utah,IHSP,2020,2020,18,0-4 yr,0,0
Utah,IHSP,2020,2020,19,0-4 yr,0,0
Tennessee,EIP,2020,2020,19,0-4 yr,1.8,0
Oregon,EIP,2020,2020,19,0-4 yr,2,0
Ohio,IHSP,2020,2020,19,0-4 yr,2.2,2.2
New York,EIP,2020,2020,19,0-4 yr,2.7,0
New Mexico,EIP,2020,2020,19,0-4 yr,1.4,0
Minnesota,EIP,2020,2020,19,0-4 yr,1,0.5
Michigan,IHSP,2020,2020,19,0-4 yr,2.9,0
Maryland,EIP,2020,2020,19,0-4 yr,6.6,0.3
Entire Network,IHSP,2020,2020,19,0-4 yr,2.3,1.3
Iowa,IHSP,2020,2020,19,0-4 yr,24.3,12.1
Georgia,EIP,2020,2020,19,0-4 yr,0.8,0.4
Entire Network,EIP,2020,2020,19,0-4 yr,3.8,0.4
Connecticut,EIP,2020,2020,19,0-4 yr,2,0
Entire Network,COVID-NET,2020,2020,19,0-4 yr,3.6,0.5
Colorado,EIP,2020,2020,19,0-4 yr,12.5,1.2
California,EIP,2020,2020,19,0-4 yr,2.5,0.5
California,EIP,2020,2020,20,0-4 yr,3,0.5
Colorado,EIP,2020,2020,20,0-4 yr,13.7,1.2
Entire Network,COVID-NET,2020,2020,20,0-4 yr,4.3,0.7
Connecticut,EIP,2020,2020,20,0-4 yr,2,0
Entire Network,EIP,2020,2020,20,0-4 yr,4.5,0.7
Georgia,EIP,2020,2020,20,0-4 yr,0.8,0
Iowa,IHSP,2020,2020,20,0-4 yr,24.3,0
Entire Network,IHSP,2020,2020,20,0-4 yr,3,0.7
Maryland,EIP,2020,2020,20,0-4 yr,8.8,2.2
Michigan,IHSP,2020,2020,20,0-4 yr,2.9,0
Minnesota,EIP,2020,2020,20,0-4 yr,1,0
New Mexico,EIP,2020,2020,20,0-4 yr,1.4,0
New York,EIP,2020,2020,20,0-4 yr,2.7,0
Ohio,IHSP,2020,2020,20,0-4 yr,3.6,1.4
Oregon,EIP,2020,2020,20,0-4 yr,2,0
Tennessee,EIP,2020,2020,20,0-4 yr,1.8,0
Utah,IHSP,2020,2020,20,0-4 yr,0,0
Utah,IHSP,2020,2020,21,0-4 yr,0,0
Tennessee,EIP,2020,2020,21,0-4 yr,2.7,0.9
Oregon,EIP,2020,2020,21,0-4 yr,2,0
Ohio,IHSP,2020,2020,21,0-4 yr,4.3,0.7
New York,EIP,2020,2020,21,0-4 yr,3.6,0.9
New Mexico,EIP,2020,2020,21,0-4 yr,2.8,1.4
Minnesota,EIP,2020,2020,21,0-4 yr,3,2
Michigan,IHSP,2020,2020,21,0-4 yr,2.9,0
Maryland,EIP,2020,2020,21,0-4 yr,10.2,1.4
Entire Network,IHSP,2020,2020,21,0-4 yr,3.3,0.3
Iowa,IHSP,2020,2020,21,0-4 yr,24.3,0
Georgia,EIP,2020,2020,21,0-4 yr,1.5,0.8
Entire Network,EIP,2020,2020,21,0-4 yr,5.6,1
Connecticut,EIP,2020,2020,21,0-4 yr,4,2
Entire Network,COVID-NET,2020,2020,21,0-4 yr,5.2,0.9
Colorado,EIP,2020,2020,21,0-4 yr,14.9,1.2
California,EIP,2020,2020,21,0-4 yr,3,0
California,EIP,2020,2020,22,0-4 yr,3.5,0.5
Colorado,EIP,2020,2020,22,0-4 yr,14.9,0
Entire Network,COVID-NET,2020,2020,22,0-4 yr,5.9,0.7
Connecticut,EIP,2020,2020,22,0-4 yr,4,0
Entire Network,EIP,2020,2020,22,0-4 yr,6.2,0.7
Georgia,EIP,2020,2020,22,0-4 yr,1.9,0.4
Iowa,IHSP,2020,2020,22,0-4 yr,24.3,0
Entire Network,IHSP,2020,2020,22,0-4 yr,4.4,1
Maryland,EIP,2020,2020,22,0-4 yr,11.3,1.1
Michigan,IHSP,2020,2020,22,0-4 yr,4.4,1.5
Minnesota,EIP,2020,2020,22,0-4 yr,4,1
New Mexico,EIP,2020,2020,22,0-4 yr,2.8,0
New York,EIP,2020,2020,22,0-4 yr,3.6,0
Ohio,IHSP,2020,2020,22,0-4 yr,5,0.7
Oregon,EIP,2020,2020,22,0-4 yr,2,0
Utah,IHSP,2020,2020,22,0-4 yr,1.2,1.2
Tennessee,EIP,2020,2020,22,0-4 yr,5.4,2.7
Utah,IHSP,2020,2020,23,0-4 yr,1.2,0
Tennessee,EIP,2020,2020,23,0-4 yr,6.3,0.9
Oregon,EIP,2020,2020,23,0-4 yr,2,0
Ohio,IHSP,2020,2020,23,0-4 yr,6.5,1.4
New York,EIP,2020,2020,23,0-4 yr,3.6,0
New Mexico,EIP,2020,2020,23,0-4 yr,2.8,0
Minnesota,EIP,2020,2020,23,0-4 yr,6.5,2.5
Michigan,IHSP,2020,2020,23,0-4 yr,4.4,0
Maryland,EIP,2020,2020,23,0-4 yr,12.4,1.1
Entire Network,IHSP,2020,2020,23,0-4 yr,5,0.7
Iowa,IHSP,2020,2020,23,0-4 yr,24.3,0
Georgia,EIP,2020,2020,23,0-4 yr,2.7,0.8
Entire Network,EIP,2020,2020,23,0-4 yr,7.1,0.9
Connecticut,EIP,2020,2020,23,0-4 yr,4,0
Entire Network,COVID-NET,2020,2020,23,0-4 yr,6.8,0.8
Colorado,EIP,2020,2020,23,0-4 yr,15.5,0.6
California,EIP,2020,2020,23,0-4 yr,4,0.5
California,EIP,2020,2020,24,0-4 yr,4.5,0.5
Colorado,EIP,2020,2020,24,0-4 yr,15.5,0
Entire Network,COVID-NET,2020,2020,24,0-4 yr,7.5,0.8
Connecticut,EIP,2020,2020,24,0-4 yr,4,0
Entire Network,EIP,2020,2020,24,0-4 yr,8,0.9
Georgia,EIP,2020,2020,24,0-4 yr,3,0.4
Iowa,IHSP,2020,2020,24,0-4 yr,24.3,0
Entire Network,IHSP,2020,2020,24,0-4 yr,5,0
Maryland,EIP,2020,2020,24,0-4 yr,13.5,1.1
Michigan,IHSP,2020,2020,24,0-4 yr,4.4,0
Minnesota,EIP,2020,2020,24,0-4 yr,9.5,3
New Mexico,EIP,2020,2020,24,0-4 yr,4.2,1.4
New York,EIP,2020,2020,24,0-4 yr,3.6,0
Ohio,IHSP,2020,2020,24,0-4 yr,6.5,0
Oregon,EIP,2020,2020,24,0-4 yr,2,0
Utah,IHSP,2020,2020,24,0-4 yr,1.2,0
Tennessee,EIP,2020,2020,24,0-4 yr,8.1,1.8
Utah,IHSP,2020,2020,25,0-4 yr,1.2,0
Tennessee,EIP,2020,2020,25,0-4 yr,8.1,0
Oregon,EIP,2020,2020,25,0-4 yr,2,0
Ohio,IHSP,2020,2020,25,0-4 yr,6.5,0
New York,EIP,2020,2020,25,0-4 yr,3.6,0
New Mexico,EIP,2020,2020,25,0-4 yr,4.2,0
Minnesota,EIP,2020,2020,25,0-4 yr,11,1.5
Michigan,IHSP,2020,2020,25,0-4 yr,4.4,0
Maryland,EIP,2020,2020,25,0-4 yr,16,2.5
Entire Network,IHSP,2020,2020,25,0-4 yr,5,0
Iowa,IHSP,2020,2020,25,0-4 yr,24.3,0
Georgia,EIP,2020,2020,25,0-4 yr,3.8,0.8
Entire Network,EIP,2020,2020,25,0-4 yr,9.1,1.1
Connecticut,EIP,2020,2020,25,0-4 yr,6,2
Entire Network,COVID-NET,2020,2020,25,0-4 yr,8.5,0.9
Colorado,EIP,2020,2020,25,0-4 yr,16.1,0.6
California,EIP,2020,2020,25,0-4 yr,5.5,1
California,EIP,2020,2020,26,0-4 yr,6,0.5
Colorado,EIP,2020,2020,26,0-4 yr,16.1,0
Entire Network,COVID-NET,2020,2020,26,0-4 yr,9.1,0.7
Connecticut,EIP,2020,2020,26,0-4 yr,6,0
Entire Network,EIP,2020,2020,26,0-4 yr,9.7,0.6
Georgia,EIP,2020,2020,26,0-4 yr,5.3,1.5
Iowa,IHSP,2020,2020,26,0-4 yr,24.3,0
Entire Network,IHSP,2020,2020,26,0-4 yr,6,1
Maryland,EIP,2020,2020,26,0-4 yr,16.3,0.3
Michigan,IHSP,2020,2020,26,0-4 yr,4.4,0
Minnesota,EIP,2020,2020,26,0-4 yr,11.5,0.5
New Mexico,EIP,2020,2020,26,0-4 yr,5.6,1.4
New York,EIP,2020,2020,26,0-4 yr,3.6,0
Ohio,IHSP,2020,2020,26,0-4 yr,7.9,1.4
Oregon,EIP,2020,2020,26,0-4 yr,3,1
Tennessee,EIP,2020,2020,26,0-4 yr,9,0.9
Utah,IHSP,2020,2020,26,0-4 yr,2.4,1.2
Utah,IHSP,2020,2020,27,0-4 yr,3.6,1.2
Tennessee,EIP,2020,2020,27,0-4 yr,9.8,0.9
Oregon,EIP,2020,2020,27,0-4 yr,3,0
Ohio,IHSP,2020,2020,27,0-4 yr,8.6,0.7
New York,EIP,2020,2020,27,0-4 yr,3.6,0
New Mexico,EIP,2020,2020,27,0-4 yr,5.6,0
Minnesota,EIP,2020,2020,27,0-4 yr,11.5,0
Michigan,IHSP,2020,2020,27,0-4 yr,4.4,0
Maryland,EIP,2020,2020,27,0-4 yr,16.6,0.3
Entire Network,IHSP,2020,2020,27,0-4 yr,6.7,0.7
Iowa,IHSP,2020,2020,27,0-4 yr,24.3,0
Georgia,EIP,2020,2020,27,0-4 yr,7.2,1.9
Entire Network,EIP,2020,2020,27,0-4 yr,10.2,0.5
Connecticut,EIP,2020,2020,27,0-4 yr,6,0
Entire Network,COVID-NET,2020,2020,27,0-4 yr,9.7,0.5
Colorado,EIP,2020,2020,27,0-4 yr,16.7,0.6
California,EIP,2020,2020,27,0-4 yr,6,0
California,EIP,2020,2020,28,0-4 yr,6.5,0.5
Colorado,EIP,2020,2020,28,0-4 yr,17.3,0.6
Entire Network,COVID-NET,2020,2020,28,0-4 yr,10.6,1
Connecticut,EIP,2020,2020,28,0-4 yr,6,0
Entire Network,EIP,2020,2020,28,0-4 yr,11.3,1.1
Georgia,EIP,2020,2020,28,0-4 yr,10.2,3
Iowa,IHSP,2020,2020,28,0-4 yr,24.3,0
Entire Network,IHSP,2020,2020,28,0-4 yr,7,0.3
Maryland,EIP,2020,2020,28,0-4 yr,17.7,1.1
Michigan,IHSP,2020,2020,28,0-4 yr,4.4,0
Minnesota,EIP,2020,2020,28,0-4 yr,12,0.5
New Mexico,EIP,2020,2020,28,0-4 yr,5.6,0
New York,EIP,2020,2020,28,0-4 yr,3.6,0
Ohio,IHSP,2020,2020,28,0-4 yr,8.6,0
Oregon,EIP,2020,2020,28,0-4 yr,4.1,1
Tennessee,EIP,2020,2020,28,0-4 yr,11.6,1.8
Utah,IHSP,2020,2020,28,0-4 yr,4.8,1.2
Utah,IHSP,2020,2020,29,0-4 yr,4.8,0
Tennessee,EIP,2020,2020,29,0-4 yr,12.5,0.9
Oregon,EIP,2020,2020,29,0-4 yr,5.1,1
Ohio,IHSP,2020,2020,29,0-4 yr,8.6,0
New York,EIP,2020,2020,29,0-4 yr,4.4,0.9
New Mexico,EIP,2020,2020,29,0-4 yr,5.6,0
Minnesota,EIP,2020,2020,29,0-4 yr,14.1,2
Michigan,IHSP,2020,2020,29,0-4 yr,4.4,0
Maryland,EIP,2020,2020,29,0-4 yr,18.5,0.8
Entire Network,IHSP,2020,2020,29,0-4 yr,7,0
Iowa,IHSP,2020,2020,29,0-4 yr,24.3,0
Georgia,EIP,2020,2020,29,0-4 yr,11.4,1.1
Entire Network,EIP,2020,2020,29,0-4 yr,12.2,0.9
Connecticut,EIP,2020,2020,29,0-4 yr,6,0
Entire Network,COVID-NET,2020,2020,29,0-4 yr,11.4,0.8
Colorado,EIP,2020,2020,29,0-4 yr,17.9,0.6
California,EIP,2020,2020,29,0-4 yr,7,0.5
California,EIP,2020,2020,30,0-4 yr,8.6,1.5
Colorado,EIP,2020,2020,30,0-4 yr,17.9,0
Entire Network,COVID-NET,2020,2020,30,0-4 yr,12.3,0.9
Connecticut,EIP,2020,2020,30,0-4 yr,6,0
Entire Network,EIP,2020,2020,30,0-4 yr,13.2,1
Georgia,EIP,2020,2020,30,0-4 yr,12.5,1.1
Iowa,IHSP,2020,2020,30,0-4 yr,24.3,0
Entire Network,IHSP,2020,2020,30,0-4 yr,7.7,0.7
Maryland,EIP,2020,2020,30,0-4 yr,21.3,2.8
Michigan,IHSP,2020,2020,30,0-4 yr,4.4,0
Minnesota,EIP,2020,2020,30,0-4 yr,14.1,0
New Mexico,EIP,2020,2020,30,0-4 yr,5.6,0
New York,EIP,2020,2020,30,0-4 yr,4.4,0
Ohio,IHSP,2020,2020,30,0-4 yr,9.3,0.7
Oregon,EIP,2020,2020,30,0-4 yr,5.1,0
Utah,IHSP,2020,2020,30,0-4 yr,6,1.2
Tennessee,EIP,2020,2020,30,0-4 yr,12.5,0
Utah,IHSP,2020,2020,31,0-4 yr,6,0
Tennessee,EIP,2020,2020,31,0-4 yr,12.5,0
Oregon,EIP,2020,2020,31,0-4 yr,6.1,1
Ohio,IHSP,2020,2020,31,0-4 yr,9.3,0
New York,EIP,2020,2020,31,0-4 yr,4.4,0
New Mexico,EIP,2020,2020,31,0-4 yr,5.6,0
Minnesota,EIP,2020,2020,31,0-4 yr,14.1,0
Michigan,IHSP,2020,2020,31,0-4 yr,4.4,0
Maryland,EIP,2020,2020,31,0-4 yr,22.9,1.7
Entire Network,IHSP,2020,2020,31,0-4 yr,7.7,0
Iowa,IHSP,2020,2020,31,0-4 yr,24.3,0
Georgia,EIP,2020,2020,31,0-4 yr,13.6,1.1
Entire Network,EIP,2020,2020,31,0-4 yr,13.9,0.7
Connecticut,EIP,2020,2020,31,0-4 yr,6,0
Entire Network,COVID-NET,2020,2020,31,0-4 yr,12.9,0.6
Colorado,EIP,2020,2020,31,0-4 yr,18.5,0.6
California,EIP,2020,2020,31,0-4 yr,8.6,0
California,EIP,2020,2020,32,0-4 yr,null,null
Colorado,EIP,2020,2020,32,0-4 yr,null,null
Entire Network,COVID-NET,2020,2020,32,0-4 yr,null,null
Connecticut,EIP,2020,2020,32,0-4 yr,null,null
Entire Network,EIP,2020,2020,32,0-4 yr,null,null
Georgia,EIP,2020,2020,32,0-4 yr,null,null
Iowa,IHSP,2020,2020,32,0-4 yr,null,null
Entire Network,IHSP,2020,2020,32,0-4 yr,null,null
Maryland,EIP,2020,2020,32,0-4 yr,null,null
Michigan,IHSP,2020,2020,32,0-4 yr,null,null
Minnesota,EIP,2020,2020,32,0-4 yr,null,null
New Mexico,EIP,2020,2020,32,0-4 yr,null,null
New York,EIP,2020,2020,32,0-4 yr,null,null
Ohio,IHSP,2020,2020,32,0-4 yr,null,null
Oregon,EIP,2020,2020,32,0-4 yr,null,null
Utah,IHSP,2020,2020,32,0-4 yr,null,null
Tennessee,EIP,2020,2020,32,0-4 yr,null,null
Utah,IHSP,2020,2020,33,0-4 yr,null,null
Tennessee,EIP,2020,2020,33,0-4 yr,null,null
Oregon,EIP,2020,2020,33,0-4 yr,null,null
Ohio,IHSP,2020,2020,33,0-4 yr,null,null
New York,EIP,2020,2020,33,0-4 yr,null,null
New Mexico,EIP,2020,2020,33,0-4 yr,null,null
Minnesota,EIP,2020,2020,33,0-4 yr,null,null
Michigan,IHSP,2020,2020,33,0-4 yr,null,null
Maryland,EIP,2020,2020,33,0-4 yr,null,null
Entire Network,IHSP,2020,2020,33,0-4 yr,null,null
Iowa,IHSP,2020,2020,33,0-4 yr,null,null
Georgia,EIP,2020,2020,33,0-4 yr,null,null
Entire Network,EIP,2020,2020,33,0-4 yr,null,null
Connecticut,EIP,2020,2020,33,0-4 yr,null,null
Entire Network,COVID-NET,2020,2020,33,0-4 yr,null,null
Colorado,EIP,2020,2020,33,0-4 yr,null,null
California,EIP,2020,2020,33,0-4 yr,null,null
California,EIP,2020,2020,34,0-4 yr,null,null
Colorado,EIP,2020,2020,34,0-4 yr,null,null
Entire Network,COVID-NET,2020,2020,34,0-4 yr,null,null
Connecticut,EIP,2020,2020,34,0-4 yr,null,null
Entire Network,EIP,2020,2020,34,0-4 yr,null,null
Georgia,EIP,2020,2020,34,0-4 yr,null,null
Iowa,IHSP,2020,2020,34,0-4 yr,null,null
Entire Network,IHSP,2020,2020,34,0-4 yr,null,null
Maryland,EIP,2020,2020,34,0-4 yr,null,null
Michigan,IHSP,2020,2020,34,0-4 yr,null,null
Minnesota,EIP,2020,2020,34,0-4 yr,null,null
New Mexico,EIP,2020,2020,34,0-4 yr,null,null
New York,EIP,2020,2020,34,0-4 yr,null,null
Ohio,IHSP,2020,2020,34,0-4 yr,null,null
Oregon,EIP,2020,2020,34,0-4 yr,null,null
Tennessee,EIP,2020,2020,34,0-4 yr,null,null
Utah,IHSP,2020,2020,34,0-4 yr,null,null
Utah,IHSP,2020,2020,35,0-4 yr,null,null
Tennessee,EIP,2020,2020,35,0-4 yr,null,null
Oregon,EIP,2020,2020,35,0-4 yr,null,null
Ohio,IHSP,2020,2020,35,0-4 yr,null,null
New York,EIP,2020,2020,35,0-4 yr,null,null
New Mexico,EIP,2020,2020,35,0-4 yr,null,null
Minnesota,EIP,2020,2020,35,0-4 yr,null,null
Michigan,IHSP,2020,2020,35,0-4 yr,null,null
Maryland,EIP,2020,2020,35,0-4 yr,null,null
Entire Network,IHSP,2020,2020,35,0-4 yr,null,null
Iowa,IHSP,2020,2020,35,0-4 yr,null,null
Georgia,EIP,2020,2020,35,0-4 yr,null,null
Entire Network,EIP,2020,2020,35,0-4 yr,null,null
Connecticut,EIP,2020,2020,35,0-4 yr,null,null
Entire Network,COVID-NET,2020,2020,35,0-4 yr,null,null
Colorado,EIP,2020,2020,35,0-4 yr,null,null
California,EIP,2020,2020,35,0-4 yr,null,null
California,EIP,2020,2020,36,0-4 yr,null,null
Colorado,EIP,2020,2020,36,0-4 yr,null,null
Entire Network,COVID-NET,2020,2020,36,0-4 yr,null,null
Connecticut,EIP,2020,2020,36,0-4 yr,null,null
Entire Network,EIP,2020,2020,36,0-4 yr,null,null
Georgia,EIP,2020,2020,36,0-4 yr,null,null
Iowa,IHSP,2020,2020,36,0-4 yr,null,null
Entire Network,IHSP,2020,2020,36,0-4 yr,null,null
Maryland,EIP,2020,2020,36,0-4 yr,null,null
Michigan,IHSP,2020,2020,36,0-4 yr,null,null
Minnesota,EIP,2020,2020,36,0-4 yr,null,null
New Mexico,EIP,2020,2020,36,0-4 yr,null,null
New York,EIP,2020,2020,36,0-4 yr,null,null
