Date Negative Positive Deaths PDeaths Hospitalizations Released CurrentlyHospitalized AcuteCare IntensiveCare
200519 167112 41546 1963 118 7199 2868 1421 884 537
200520 173007 42323 2004 119 7393 2993 1410 871 539
200521 176702 43531 2045 114 7485 3099 1374 848 526
200522 183478 44424 2092 115 7634 3243 1329 823 506
200523 186832 45495 2130 113 7825 3283 1320 796 524
200524 194049 46313 2162 115 7939 3319 1290 787 503
200525 202425 47152 2187 115 8092 3329 1279 762 517
200526 206800 47687 2217 115 8179 3334 1315 795 520
200527 213632 48423 2270 122 8281 3401 1338 818 520
200528 225149 49709 2307 121 8392 3468 1334 823 511
200529 233530 50988 2348 118 8479 3571 1296 789 507
200530 241931 52015 2390 119 8619 3649 1239 747 492
200531 249103 52778 2411 121 8738 3764 1183 704 479
200601 255403 53327 2431 121 8886 3782 1174 695 479
200602 261640 54175 2474 123 8957 3855 1148 667 481
200603 272643 54982 2519 122 9111 3970 1109 638 471
200604 281160 55858 2546 122 9217 3985 1096 640 456
200605 290956 56770 2580 122 9346 4159 1076 621 455
200606 299894 57482 2616 124 9451 4175 1059 641 418
200607 306830 57973 2625 124 9546 4240 1003 599 404
200608 313099 58404 2653 123 9629 4240 979 587 392
200609 319178 58904 2686 125 9676 4279 970 584 386
200610 325177 59465 2719 125 9755 4310 955 576 379
200611 332173 60197 2750 125 9789 4365 903 544 358
200612 339482 60613 2773 127 9923 4474 836 505 331
200613 347453 61305 2799 127 10053 4536 799 478 321
200614 353608 61701 2811 128 10165 4541 751 438 313
200615 359076 62032 2817 130 10222 4567 745 453 292
200616 366816 62409 2851 131 10262 4579 742 458 284
200617 378374 62969 2866 130 10309 4596 702 419 283
200618 384379 63229 2886 130 10357 4640 660 391 269
200619 390121 63548 2901 129 10447 4685 648 387 261
200620 398324 63956 2923 129 10497 4745 644 406 238
200621 404725 64306 2937 129 10544 4773 608 378 230
200622 410122 64603 2945 129 10572 4776 602 370 232
200623 418528 65007 2963 129 10611 4797 561 349 212
200624 425120 65337 2978 130 10648 4810 544 331 213
200625 433182 65777 3001 138 10683 4874 511 302 209
200626 440282 66115 3015 127 10725 4903 487 297 190
200627 447366 66450 3030 127 10751 4935 478 297 181
200628 452696 66777 3042 126 10793 4876 446 288 158
200629 462059 67254 3048 127 10822 4979 447 287 160
200630 468296 67559 3062 128 10844 4982 452 300 152
200701 474686 67918 3077 128 10902 5001 461 307 154
200702 484752 68423 3086 125 10939 5013 441 292 149
200703 494873 68961 3099 124 10973 5023 422 279 143
200704 504001 69341 3111 125 11034 5025 410 267 143
200705 510330 69632 3118 125 11071 5029 409 265 144
