Date Gender Counts
200521 PDMale 47
200522 Female 23141
200522 Male 21283
200522 DFemale 1038
200522 DMale 1054
200522 PDFemale 68
200522 PDMale 47
200523 Female 23677
200523 Male 21818
200523 DFemale 1056
200523 DMale 1074
200523 PDFemale 68
200523 PDMale 45
200524 Female 24075
200524 Male 22238
200524 DFemale 1068
200524 DMale 1094
200524 PDFemale 69
200524 PDMale 46
200525 Female 24548
200525 Male 22604
200525 DFemale 1077
200525 DMale 1110
200525 PDFemale 69
200525 PDMale 46
200526 Female 24816
200526 Male 22871
200526 DFemale 1091
200526 DMale 1126
200526 PDFemale 69
200526 PDMale 47
200527 Female 25206
200527 Male 23217
200527 DFemale 1121
200527 DMale 1149
200527 PDFemale 67
200527 PDMale 55
200528 Female 25849
200528 Male 23860
200528 DFemale 1137
200528 DMale 1170
200528 PDFemale 66
200528 PDMale 55
200529 Female 26527
200529 Male 24461
200529 DFemale 1156
200529 DMale 1192
200529 PDFemale 65
200529 PDMale 53
200530 Female 27091
200530 Male 24924
200530 DFemale 1176
200530 DMale 1214
200530 PDFemale 65
200530 PDMale 54
200531 Female 27506
200531 Male 25272
200531 DFemale 1184
200531 DMale 1227
200531 PDFemale 66
200531 PDMale 55
200601 Female 27805
200601 Male 25222
200601 DFemale 1193
200601 DMale 1238
200601 PDFemale 66
200601 PDMale 55
200602 Female 28255
200602 Male 24950
200602 DFemale 1219
200602 DMale 1255
200602 PDFemale 67
200602 PDMale 56
200603 Female 28654
200603 Male 26328
200603 DFemale 1241
200603 DMale 1278
200603 PDFemale 65
200603 PDMale 57
200604 Female 29096
200604 Male 26762
200604 DFemale 1253
200604 DMale 1293
200604 PDFemale 65
200604 PDMale 57
200605 Female 29573
200605 Male 27197
200605 DFemale 1266
200605 DMale 1314
200605 PDFemale 66
200605 PDMale 56
200606 Female 29949
200606 Male 27533
200606 DFemale 1284
200606 DMale 1332
200606 PDFemale 66
200606 PDMale 58
200607 Female 30215
200607 Male 27758
200607 DFemale 1288
200607 DMale 1337
200607 PDFemale 66
200607 PDMale 58
200608 Female 30435
200608 Male 27969
200608 DFemale 1300
200608 DMale 1353
200608 PDFemale 66
200608 PDMale 57
200609 Female 30667
200609 Male 28237
200609 DFemale 1312
200609 DMale 1374
200609 PDFemale 67
200609 PDMale 58
200610 Female 30963
200610 Male 28502
200610 DFemale 1329
200610 DMale 1390
200610 PDFemale 69
200610 PDMale 56
200611 Female 31322
200611 Male 28875
200611 DFemale 1342
200611 DMale 1408
200611 PDFemale 69
200611 PDMale 56
200612 Female 31531
200612 Male 29082
200612 DFemale 1360
200612 DMale 1413
200612 PDFemale 71
200612 PDMale 56
200613 Female 31870
200613 Male 29435
200613 DFemale 1370
200613 DMale 1429
200613 PDFemale 69
200613 PDMale 58
200614 Female 32082
200614 Male 29619
200614 DFemale 1375
200614 DMale 1436
200614 PDFemale 70
200614 PDMale 58
200615 Female 32241
200615 Male 29791
200615 DFemale 1381
200615 DMale 1436
200615 PDFemale 71
200615 PDMale 59
200616 Female 32415
200616 Male 29994
200616 DFemale 1393
200616 DMale 1458
200616 PDFemale 71
200616 PDMale 60
200617 Female 32715
200617 Male 30254
200617 DFemale 1398
200617 DMale 1468
200617 PDFemale 71
200617 PDMale 59
200618 Female 32849
200618 Male 30380
200618 DFemale 1407
200618 DMale 1479
200618 PDFemale 71
200618 PDMale 59
200619 Female 33017
200619 Male 30531
200619 DFemale 1415
200619 DMale 1486
200619 PDFemale 70
200619 PDMale 59
200620 Female 33234
200620 Male 30722
200620 DFemale 1426
200620 DMale 1497
200620 PDFemale 70
200620 PDMale 59
200621 Female 33418
200621 Male 30888
200621 DFemale 1433
200621 DMale 1504
200621 PDFemale 70
200621 PDMale 59
200622 Female 33580
200622 Male 31023
200622 DFemale 1437
200622 DMale 1508
200622 PDFemale 70
200622 PDMale 59
200623 Female 33769
200623 Male 31238
200623 DFemale 1446
200623 DMale 1517
200623 PDFemale 70
200623 PDMale 59
200624 Female 33931
200624 Male 31406
200624 DFemale 1453
200624 DMale 1525
200624 PDFemale 70
200624 PDMale 60
200625 Female 34142
200625 Male 31635
200625 DFemale 1464
200625 DMale 1537
200625 PDFemale 68
200625 PDMale 60
200626 Female 34323
200626 Male 31792
200626 DFemale 1473
200626 DMale 1542
200626 PDFemale 66
200626 PDMale 61
200627 Female 34485
200627 Male 31965
200627 DFemale 1483
200627 DMale 1547
200627 PDFemale 66
200627 PDMale 61
200628 Female 34649
200628 Male 32128
200628 DFemale 1488
200628 DMale 1554
200628 PDFemale 66
200628 PDMale 61
