OBJECTID,DATE,COUNTY,FACILITY_NAME,Staff_Private,Residents_Private,Staff_Public,Patients_Public,Inmates_Public,Youth_Public
4940,2020/04/29 14:00:00+00,Baltimore City,Baltimore Central Booking and Intake Center,,,8,,0,
4941,2020/04/29 14:00:00+00,Baltimore City,Baltimore City Correctional Center,,,1,,0,
4942,2020/04/29 14:00:00+00,Baltimore City,Baltimore City Juvenile Justice Center,,,4,,,0
4943,2020/04/29 14:00:00+00,Baltimore City,Brockbridge Correctional Facility *currently being repurposed,,,0,,0,
4944,2020/04/29 14:00:00+00,Baltimore City,Chesapeake Detention Facility (Formerly MCAC),,,2,,0,
4945,2020/04/29 14:00:00+00,Baltimore City,Esther's Place at Pinewood,1,8,,,,
4946,2020/04/29 14:00:00+00,Baltimore City,Esther's Place At the Park,6,19,,,,
4947,2020/04/29 14:00:00+00,Baltimore City,Future Care Charles Village,8,69,,,,
4948,2020/04/29 14:00:00+00,Baltimore City,Future Care Irvington,3,20,,,,
4949,2020/04/29 14:00:00+00,Baltimore City,FutureCare Canton Harbor,4,10,,,,
4950,2020/04/29 14:00:00+00,Baltimore City,FutureCare Cold Spring,13,36,,,,
4951,2020/04/29 14:00:00+00,Baltimore City,FutureCare Good Samaritan,10,24,,,,
4952,2020/04/29 14:00:00+00,Baltimore City,FutureCare Homewood,3,0,,,,
4953,2020/04/29 14:00:00+00,Baltimore City,FutureCare Lochearn,66,154,,,,
4954,2020/04/29 14:00:00+00,Baltimore City,Genesis Long Green Center,1,1,,,,
4955,2020/04/29 14:00:00+00,Baltimore City,Keswick Multi-Care Center,3,9,,,,
4956,2020/04/29 14:00:00+00,Baltimore City,Levindale Hebrew Geriatric Center and Hospital,29,52,,,,
4957,2020/04/29 14:00:00+00,Baltimore City,Manor Care Roland Park,2,2,,,,
4958,2020/04/29 14:00:00+00,Baltimore City,"Maryland Reception, Diagnostic and Classification Center",,,27,,3,
4959,2020/04/29 14:00:00+00,Baltimore City,Metropolitan Transition Center,,,22,,1,
4960,2020/04/29 14:00:00+00,Baltimore City,Nursing and Rehab Center at Stadium Place,1,1,,,,
4961,2020/04/29 14:00:00+00,Baltimore City,Peak Health Caton Manor,6,28,,,,
4962,2020/04/29 14:00:00+00,Baltimore City,Post Acute Care Center,5,27,,,,
4963,2020/04/29 14:00:00+00,Baltimore City,Roland Park Place,1,1,,,,
4964,2020/04/29 14:00:00+00,Baltimore City,Symphony Manor Baltimore,0,2,,,,
4965,2020/04/29 14:00:00+00,Baltimore City,The Neighborhoods at St. Elizabeth Rehabilitation & Nursing Center,4,11,,,,
4966,2020/04/29 14:00:00+00,Baltimore City,Westgate Hills Rehabilitation & Healthcare Center,6,14,,,,
4967,2020/04/29 14:00:00+00,Baltimore City,Youth Detention Center,,,2,,0,
4968,2020/04/29 14:00:00+00,Baltimore County,Arden Court of Towson,0,3,,,,
4969,2020/04/29 14:00:00+00,Baltimore County,Atrium Village,6,16,,,,
4970,2020/04/29 14:00:00+00,Baltimore County,Autumn Lake Healthcare at Riverview,1,1,,,,
4971,2020/04/29 14:00:00+00,Baltimore County,Autumn Lake Pikesville,7,59,,,,
4972,2020/04/29 14:00:00+00,Baltimore County,Baltimore County Detention Center,,,2,6,,
4973,2020/04/29 14:00:00+00,Baltimore County,Chapel Hill Nursing and Rehabilitation Center,1,0,,,,
4974,2020/04/29 14:00:00+00,Baltimore County,"Charles H. Hickey, Jr. School",,,1,,,0
4975,2020/04/29 14:00:00+00,Baltimore County,Charlestown Senior Living Community,6,1,,,,
4976,2020/04/29 14:00:00+00,Baltimore County,Chesapeake Treatment Center,1,1,,,,
4977,2020/04/29 14:00:00+00,Baltimore County,Forest Haven Nursing & Rahab Center,0,1,,,,
4978,2020/04/29 14:00:00+00,Baltimore County,Frederick Villa Nursing and Rehabilitation Center,33,67,,,,
4979,2020/04/29 14:00:00+00,Baltimore County,Futurecare Cherrywood,8,15,,,,
4980,2020/04/29 14:00:00+00,Baltimore County,FutureCare Courtland,6,11,,,,
4981,2020/04/29 14:00:00+00,Baltimore County,FutureCare Northpoint,1,2,,,,
4982,2020/04/29 14:00:00+00,Baltimore County,FutureCare Old Court,37,72,,,,
4983,2020/04/29 14:00:00+00,Baltimore County,Genesis Catonsville Commons,4,12,,,,
4984,2020/04/29 14:00:00+00,Baltimore County,Genesis Cromwell Center,6,25,,,,
4985,2020/04/29 14:00:00+00,Baltimore County,Genesis Loch Raven,18,69,,,,
4986,2020/04/29 14:00:00+00,Baltimore County,Genesis Multi-Medical Center,1,0,,,,
4987,2020/04/29 14:00:00+00,Baltimore County,Heritage Center Genesis Eldercare,5,15,,,,
4988,2020/04/29 14:00:00+00,Baltimore County,King David Nursing and Rehabilitation Center,2,0,,,,
4989,2020/04/29 14:00:00+00,Baltimore County,Lorien Mays Chapel,1,0,,,,
4990,2020/04/29 14:00:00+00,Baltimore County,ManorCare Health Services- Rossville,9,32,,,,
4991,2020/04/29 14:00:00+00,Baltimore County,ManorCare Health Services- Towson,6,4,,,,
4992,2020/04/29 14:00:00+00,Baltimore County,Maria Health Care Center,2,0,,,,
4993,2020/04/29 14:00:00+00,Baltimore County,Maryland Masonic Homes,10,18,,,,
4994,2020/04/29 14:00:00+00,Baltimore County,Meadow Park Rehabilitation and Healthcare,15,18,,,,
4995,2020/04/29 14:00:00+00,Baltimore County,New Life Health Living,2,4,,,,
4996,2020/04/29 14:00:00+00,Baltimore County,Oak Crest,11,13,,,,
4997,2020/04/29 14:00:00+00,Baltimore County,Oakwood Care Center,0,3,,,,
4998,2020/04/29 14:00:00+00,Baltimore County,Orchard Hill Health and Rehab,5,11,,,,
4999,2020/04/29 14:00:00+00,Baltimore County,Patapsco Valley Center,7,23,,,,
5000,2020/04/29 14:00:00+00,Baltimore County,Ridgeway Manor,1,2,,,,
5001,2020/04/29 14:00:00+00,Baltimore County,Spring Grove Psychiatric Hospital,,,10,22,,
5002,2020/04/29 14:00:00+00,Baltimore County,Stella Maris,8,12,,,,
5003,2020/04/29 14:00:00+00,Baltimore County,Summit Park Health & Rehabilitation Center,4,2,,,,
5004,2020/04/29 14:00:00+00,Baltimore County,Sunrise of Pikesville,1,0,,,,
5005,2020/04/29 14:00:00+00,Baltimore County,Village at Augsburg,7,14,,,,
5006,2020/04/29 14:00:00+00,Calvert,Calvert County Nursing Center,2,0,,,,
5007,2020/04/29 14:00:00+00,Carroll,Carroll Lutheran Village,11,38,,,,
5008,2020/04/29 14:00:00+00,Carroll,Central Maryland Correctional Facility (Formerly CLF),,,0,,0,
5009,2020/04/29 14:00:00+00,Carroll,Fairhaven,4,18,,,,
5010,2020/04/29 14:00:00+00,Carroll,Pleasant View Nursing Home,41,83,,,,
5011,2020/04/29 14:00:00+00,Carroll,Springfield Hospital Center,,,3,0,,
5012,2020/04/29 14:00:00+00,Carroll,Sun Valley Assisted Living,7,16,,,,
5013,2020/04/29 14:00:00+00,Carroll,Westminster Healthcare Center,6,48,,,,
5014,2020/04/29 14:00:00+00,Cecil,Calvert Manor Healthcare Center,16,53,,,,
5015,2020/04/29 14:00:00+00,Charles,Charles County Detention Center,,,2,1,,
5016,2020/04/29 14:00:00+00,Charles,Genesis Waldorf,1,0,,,,
5017,2020/04/29 14:00:00+00,Charles,Restore Health Rehabilitation Center,3,7,,,,
5018,2020/04/29 14:00:00+00,Charles,Sagepoint Nursing & Rehabilitation,32,97,,,,
5019,2020/04/29 14:00:00+00,Charles,The Charleston Senior Community,0,9,,,,
5020,2020/04/29 14:00:00+00,Charles County,Genesis La Plata,4,0,,,,
5021,2020/04/29 14:00:00+00,Frederick,Ballenger Creek - Genesis Healthcare,39,84,,,,
5022,2020/04/29 14:00:00+00,Frederick,Citizens Care and Rehabilitation Center of Frederick,7,11,,,,
5023,2020/04/29 14:00:00+00,Frederick,Country Meadows of Frederick,18,23,,,,
5024,2020/04/29 14:00:00+00,Frederick,Edenton Retirement Community,1,0,,,,
5025,2020/04/29 14:00:00+00,Frederick,Frederick Health and Rehabilitation Center,20,26,,,,
5026,2020/04/29 14:00:00+00,Frederick,Glade Valley Center - Genesis Healthcare,2,0,,,,
5027,2020/04/29 14:00:00+00,Frederick,HeartFields Assisted Living at Frederick,18,9,,,,
5028,2020/04/29 14:00:00+00,Frederick,Homewood at Frederick,23,17,,,,
5029,2020/04/29 14:00:00+00,Frederick,Northampton Manor Nursing and Rehabilitation Center,13,30,,,,
5030,2020/04/29 14:00:00+00,Frederick,Somerford House Frederick,5,1,,,,
5031,2020/04/29 14:00:00+00,Frederick,Tranquility of Frederickstowne,2,2,,,,
5032,2020/04/29 14:00:00+00,Frederick,Victor Cullen Center/Savage Mountain Youth Center,,,0,,,0
5033,2020/04/29 14:00:00+00,Garrett,Backbone Mountain Youth Center,,,0,,,0
5034,2020/04/29 14:00:00+00,Garrett,Meadow Mountain Youth Center,,,0,,,0
5035,2020/04/29 14:00:00+00,Harford,Bel Air Health and Rehabilitation Center,9,20,,,,
5036,2020/04/29 14:00:00+00,Harford,Forest Hill Health & Rehab Center,20,62,,,,
5037,2020/04/29 14:00:00+00,Howard,Arbor Terrace Fulton,2,0,,,,
5038,2020/04/29 14:00:00+00,Howard,Ellicott City Healthcare Center,29,89,,,,
5039,2020/04/29 14:00:00+00,Howard,Howard County Detention Center,,,1,0,,
5040,2020/04/29 14:00:00+00,Howard,Lorien Columbia,2,6,,,,
5041,2020/04/29 14:00:00+00,Howard,Lorien Elkridge,0,8,,,,
5042,2020/04/29 14:00:00+00,Howard,Residences at Vantage Point,3,3,,,,
5043,2020/04/29 14:00:00+00,Howard,Sunrise of Columbia,5,11,,,,
5044,2020/04/29 14:00:00+00,Kent,Autumn Lake Kent County,9,52,,,,
5045,2020/04/29 14:00:00+00,Kent,The Resort at Chester Manor,1,5,,,,
5046,2020/04/29 14:00:00+00,Montgomery,Alfred D. Noyes Children's Center,,,3,,,0
5047,2020/04/29 14:00:00+00,Montgomery,Alfred House,0,8,,,,
5048,2020/04/29 14:00:00+00,Montgomery,Althea Woodland,5,9,,,,
5049,2020/04/29 14:00:00+00,Montgomery,Arcola Health and Rehabilitation Center,11,11,,,,
5050,2020/04/29 14:00:00+00,Montgomery,Arden Courts of Potomac,4,17,,,,
5051,2020/04/29 14:00:00+00,Montgomery,Autumn Lake Healthcare at Oakview,4,39,,,,
5052,2020/04/29 14:00:00+00,Montgomery,Bedford Court,2,1,,,,
5053,2020/04/29 14:00:00+00,Montgomery,Bel Pre Healthcare Center,1,7,,,,
5054,2020/04/29 14:00:00+00,Montgomery,Bethesda Health and Rehab,15,15,,,,
5055,2020/04/29 14:00:00+00,Montgomery,Brighton Gardens of Tuckerman Lane,16,24,,,,
5056,2020/04/29 14:00:00+00,Montgomery,Brightview Fallsgrove-Rockville Senior Assisted Living and Memory Care,4,2,,,,
5057,2020/04/29 14:00:00+00,Montgomery,Brightview West End - Brightview Senior Living,5,3,,,,
5058,2020/04/29 14:00:00+00,Montgomery,Brooke Grove Retirement Community,15,27,,,,
5059,2020/04/29 14:00:00+00,Montgomery,"Cadia Healthcare of Springbrook, MD",15,13,,,,
5060,2020/04/29 14:00:00+00,Montgomery,Cadia Healthcare Wheaton,4,13,,,,
5061,2020/04/29 14:00:00+00,Montgomery,Carriage Hill,14,12,,,,
5062,2020/04/29 14:00:00+00,Montgomery,Cedar Creek Memory Care Homes- Maple Ridge,9,5,,,,
5063,2020/04/29 14:00:00+00,Montgomery,Collingswood Rehabilitation and Healthcare Center,10,15,,,,
5064,2020/04/29 14:00:00+00,Montgomery,Fox Chase Rehabilitation & Nursing,3,9,,,,
5065,2020/04/29 14:00:00+00,Montgomery,Friends House Retirement Community,12,14,,,,
5066,2020/04/29 14:00:00+00,Montgomery,Hebrew Home of Greater Washington,17,20,,,,
5067,2020/04/29 14:00:00+00,Montgomery,Ingleside at King Farm,2,1,,,,
5068,2020/04/29 14:00:00+00,Montgomery,Kensington Healthcare Center,8,39,,,,
5069,2020/04/29 14:00:00+00,Montgomery,Kensington Park,19,24,,,,
5070,2020/04/29 14:00:00+00,Montgomery,Layhill Center,3,10,,,,
5071,2020/04/29 14:00:00+00,Montgomery,Manor Care Silver Spring,17,58,,,,
5072,2020/04/29 14:00:00+00,Montgomery,Manor Care Wheaton,12,56,,,,
5073,2020/04/29 14:00:00+00,Montgomery,ManorCare Health Services - Chevy Chase,3,5,,,,
5074,2020/04/29 14:00:00+00,Montgomery,ManorCare Health Services Bethesda,2,2,,,,
5075,2020/04/29 14:00:00+00,Montgomery,ManorCare Potomac,10,11,,,,
5076,2020/04/29 14:00:00+00,Montgomery,"Maplewood of Park Place, Sunrise Senior Living",3,2,,,,
5077,2020/04/29 14:00:00+00,Montgomery,Montgomery Village Health Care Center,11,32,,,,
5078,2020/04/29 14:00:00+00,Montgomery,Oak Manor Center,5,8,,,,
5079,2020/04/29 14:00:00+00,Montgomery,Olney Memory Care,1,1,,,,
5080,2020/04/29 14:00:00+00,Montgomery,Potomac Valley Rehabilitation and Healthcare Center,10,18,,,,
5081,2020/04/29 14:00:00+00,Montgomery,Regency Care of Silver Spring,30,50,,,,
5082,2020/04/29 14:00:00+00,Montgomery,Rockville Nursing Home,15,36,,,,
5083,2020/04/29 14:00:00+00,Montgomery,Seabury at Springvale Terrace,0,1,,,,
5084,2020/04/29 14:00:00+00,Montgomery,Shady Grove Center for Nursing & Rehabilitation,6,3,,,,
5085,2020/04/29 14:00:00+00,Montgomery,Sligo Creek Center - Genesis Healthcare,2,5,,,,
5086,2020/04/29 14:00:00+00,Montgomery,Sunrise at Montgomery Village,0,1,,,,
5087,2020/04/29 14:00:00+00,Montgomery,Sunrise of Chevy Chase,4,4,,,,
5088,2020/04/29 14:00:00+00,Montgomery,Sunrise of Rockville,3,0,,,,
5089,2020/04/29 14:00:00+00,Montgomery,Sunrise Senior Living in Bethesda,0,1,,,,
5090,2020/04/29 14:00:00+00,Montgomery,Sunrise Senior Living - Sunrise at Fox Hill,5,4,,,,
5091,2020/04/29 14:00:00+00,Montgomery,The Landing of Silver Spring,9,13,,,,
5092,2020/04/29 14:00:00+00,Montgomery,Tribute at Black Hill,7,4,,,,
5093,2020/04/29 14:00:00+00,Montgomery,Village at Rockville,13,17,,,,
5094,2020/04/29 14:00:00+00,Montgomery,Wilson Health Care Center at Asbury Methodist Village,16,47,,,,
5095,2020/04/29 14:00:00+00,Prince George's,Adelphi Nursing and Rehabilitation,9,23,,,,
5096,2020/04/29 14:00:00+00,Prince George's,Autumn Lake Healthcare at Cherry Lane,9,0,,,,
5097,2020/04/29 14:00:00+00,Prince George's,Bradford Oaks Center,5,0,,,,
5098,2020/04/29 14:00:00+00,Prince George's,Brookdale Woodward Estates,2,5,,,,
5099,2020/04/29 14:00:00+00,Prince George's,Cadia Hyattsville,9,13,,,,
5100,2020/04/29 14:00:00+00,Prince George's,Cheltenham Youth Detention Center,,,0,,,0
5101,2020/04/29 14:00:00+00,Prince George's,Clinton Nursing and Rehabilitation Center,26,18,,,,
5102,2020/04/29 14:00:00+00,Prince George's,Collington,0,2,,,,
5103,2020/04/29 14:00:00+00,Prince George's,Crescent Cities,2,2,,,,
5104,2020/04/29 14:00:00+00,Prince George's,Doctors Community Rehabilitation and Patient Care Center,2,17,,,,
5105,2020/04/29 14:00:00+00,Prince George's,Forestville Healthcare Center,9,15,,,,
5106,2020/04/29 14:00:00+00,Prince George's,Future Care Capitol Region,8,20,,,,
5107,2020/04/29 14:00:00+00,Prince George's,Future Care Pineview,5,1,,,,
5108,2020/04/29 14:00:00+00,Prince George's,FutureCare Pineview,1,1,,,,
5109,2020/04/29 14:00:00+00,Prince George's,"Hillhaven Assisted Living, Nursing and Rehabilitation Center",12,30,,,,
5110,2020/04/29 14:00:00+00,Prince George's,Hyattsville Health and Rehab,9,24,,,,
5111,2020/04/29 14:00:00+00,Prince George's,Largo Nursing & Rehabilitation Center,1,1,,,,
5112,2020/04/29 14:00:00+00,Prince George's,Larkin Chase Center,17,60,,,,
5113,2020/04/29 14:00:00+00,Prince George's,Patuxent River Health and Rehabilitation Center,8,5,,,,
5114,2020/04/29 14:00:00+00,Prince George's,Prince George's County Jail,,,31,19,,
5115,2020/04/29 14:00:00+00,Prince George's,Riderwood - Arbor Ridge,36,47,,,,
5116,2020/04/29 14:00:00+00,Prince George's,The W Assisted LIving,0,2,,,,
5117,2020/04/29 14:00:00+00,Prince George's,Villa Rosa Nursing & Rehabilitation Center,3,10,,,,
5118,2020/04/29 14:00:00+00,Queen Anne's,Corsica Hills Center,3,0,,,,
5119,2020/04/29 14:00:00+00,Queen Anne's,Eastern Pre-Release Unit,,,0,,0,
5120,2020/04/29 14:00:00+00,Somerset,Eastern Correctional Institution,,,1,,0,
5121,2020/04/29 14:00:00+00,Somerset,Eastern Correctional Institution Annex,,,0,,0,
5122,2020/04/29 14:00:00+00,St. Mary's,Charlotte Hall Veterans Home,6,12,,,,
5123,2020/04/29 14:00:00+00,St. Mary's,Chesapeake Shores,1,0,,,,
5124,2020/04/29 14:00:00+00,St. Mary's,Southern Maryland Pre-Release Unit,,,0,,0,
5125,2020/04/29 14:00:00+00,Washington,Diakon Senior Living - Hagerstown Robinwood Campus,1,0,,,,
5126,2020/04/29 14:00:00+00,Washington,Homewood Hilltop,1,3,,,,
5127,2020/04/29 14:00:00+00,Washington,Maryland Correctional Institution - Hagerstown,,,0,,0,
5128,2020/04/29 14:00:00+00,Washington,Maryland Correctional Training Center,,,2,,0,
5129,2020/04/29 14:00:00+00,Washington,Roxbury Correctional Institution,,,0,,1,
5130,2020/04/29 14:00:00+00,Washington,Sterling Care South Mountain,4,3,,,,
5131,2020/04/29 14:00:00+00,Washington,Western Maryland Children's Center,,,0,,,0
5132,2020/04/29 14:00:00+00,Wicomico,Anchorage Healthcare Center,0,3,,,,
5133,2020/04/29 14:00:00+00,Wicomico,Lower Eastern Shore Children's Center/J. DeWeese Carter Center,,,1,,,0
5134,2020/04/29 14:00:00+00,Wicomico,Salisbury Rehabilitation and Nursing Center,2,3,,,,
5135,2020/04/29 14:00:00+00,Worcester,Berlin Nursing and Rehabilitation Center,2,3,,,,
5136,2020/04/29 14:00:00+00,Worcester,Gull Creek,1,0,,,,
5137,2020/05/06 14:00:00+00,Allegany,Cumberland Healthcare Center,24,64,,,,
5138,2020/05/06 14:00:00+00,Allegany,Green Ridge Youth Center,,,0,,,0
5139,2020/05/06 14:00:00+00,Allegany,North Branch Correctional Institution,,,1,,0,
5140,2020/05/06 14:00:00+00,Allegany,Sterling Care Frostburg Village,1,0,,,,
5141,2020/05/06 14:00:00+00,Allegany,Western Correctional Institution,,,2,,0,
5142,2020/05/06 14:00:00+00,Anne Arundel,Arbor Terrace Waugh Chapel,2,3,,,,
5143,2020/05/06 14:00:00+00,Anne Arundel,Atria Manresa,2,10,,,,
5144,2020/05/06 14:00:00+00,Anne Arundel,Crofton Care and Rehabilitation,7,43,,,,
5145,2020/05/06 14:00:00+00,Anne Arundel,Dorsey Run Correctional Facility,,,23,,7,
5146,2020/05/06 14:00:00+00,Anne Arundel,Fairfield Nursing and Rehabilitation Center,24,28,,,,
5147,2020/05/06 14:00:00+00,Anne Arundel,FutureCare Chesapeake,46,73,,,,
5148,2020/05/06 14:00:00+00,Anne Arundel,Genesis Severna Park,1,3,,,,
5149,2020/05/06 14:00:00+00,Anne Arundel,Genesis Waugh Chapel,16,41,,,,
5150,2020/05/06 14:00:00+00,Anne Arundel,Ginger Cove,22,7,,,,
5151,2020/05/06 14:00:00+00,Anne Arundel,Heritage Harbour Health and Rehabilitation Center,7,26,,,,
5152,2020/05/06 14:00:00+00,Anne Arundel,Inspiration Memory Care Linthicum,7,22,,,,
5153,2020/05/06 14:00:00+00,Anne Arundel,Jessup Correctional Institution *Including Baltimore Pretrial Complex (BPFJ),,,43,,18,
5154,2020/05/06 14:00:00+00,Anne Arundel,Marley Neck Health and Rehabilitation Center,6,10,,,,
5155,2020/05/06 14:00:00+00,Anne Arundel,Maryland Correctional Institution - Jessup,,,14,,2,
5156,2020/05/06 14:00:00+00,Anne Arundel,Maryland Correctional Institution for Women,,,28,,13,
5157,2020/05/06 14:00:00+00,Anne Arundel,North Arundel Health and Rehabilitation Center,17,12,,,,
5158,2020/05/06 14:00:00+00,Anne Arundel,Ordnance Road Detention Center,,,1,0,,
5159,2020/05/06 14:00:00+00,Anne Arundel,Patuxent Institution *Including Correctional Mental Health Center-Jessup,,,27,,15,
5160,2020/05/06 14:00:00+00,Anne Arundel,South River Healthcare Center,12,57,,,,
5161,2020/05/06 14:00:00+00,Anne Arundel,Spa Creek Center,0,2,,,,
5162,2020/05/06 14:00:00+00,Anne Arundel,Thomas J.S. Waxter Children's Center,,,0,,,0
5163,2020/05/06 14:00:00+00,Baltimore City,Arlington West Care Center,1,0,,,,
5164,2020/05/06 14:00:00+00,Baltimore City,Autumn Lake at Alice Manor,2,0,,,,
5165,2020/05/06 14:00:00+00,Baltimore City,Autumn Lake Healthcare at Bridgepark,0,7,,,,
5166,2020/05/06 14:00:00+00,Baltimore City,Baltimore Central Booking and Intake Center,,,8,,0,
5167,2020/05/06 14:00:00+00,Baltimore City,Baltimore City Correctional Center,,,1,,0,
5168,2020/05/06 14:00:00+00,Baltimore City,Baltimore City Juvenile Justice Center,,,4,,,0
5169,2020/05/06 14:00:00+00,Baltimore City,Blue Point Healthcare Center,0,1,,,,
5170,2020/05/06 14:00:00+00,Baltimore City,Brockbridge Correctional Facility *currently being repurposed,,,0,,0,
5171,2020/05/06 14:00:00+00,Baltimore City,Chesapeake Detention Facility (Formerly MCAC),,,2,,0,
5172,2020/05/06 14:00:00+00,Baltimore City,Fayette Nursing and Rehabilitation,0,1,,,,
5173,2020/05/06 14:00:00+00,Baltimore City,Future Care Charles Village,8,70,,,,
5174,2020/05/06 14:00:00+00,Baltimore City,Future Care Irvington,14,37,,,,
5175,2020/05/06 14:00:00+00,Baltimore City,FutureCare Canton Harbor,6,11,,,,
5176,2020/05/06 14:00:00+00,Baltimore City,FutureCare Cold Spring,15,37,,,,
5177,2020/05/06 14:00:00+00,Baltimore City,FutureCare Good Samaritan,10,25,,,,
5178,2020/05/06 14:00:00+00,Baltimore City,FutureCare Homewood,3,0,,,,
5179,2020/05/06 14:00:00+00,Baltimore City,FutureCare Lochearn,75,156,,,,
5180,2020/05/06 14:00:00+00,Baltimore City,FutureCare Sandtown,3,0,,,,
5181,2020/05/06 14:00:00+00,Baltimore City,Genesis Long Green Center,1,1,,,,
5182,2020/05/06 14:00:00+00,Baltimore City,Keswick Multi-Care Center,3,8,,,,
5183,2020/05/06 14:00:00+00,Baltimore City,Levindale Hebrew Geriatric Center and Hospital,36,54,,,,
5184,2020/05/06 14:00:00+00,Baltimore City,Manor Care Roland Park,2,2,,,,
5185,2020/05/06 14:00:00+00,Baltimore City,"Maryland Reception, Diagnostic and Classification Center",,,27,,3,
5186,2020/05/06 14:00:00+00,Baltimore City,Metropolitan Transition Center,,,25,,1,
5187,2020/05/06 14:00:00+00,Baltimore City,Nursing and Rehab Center at Stadium Place,1,2,,,,
5188,2020/05/06 14:00:00+00,Baltimore City,Peak Health Caton Manor,6,38,,,,
5189,2020/05/06 14:00:00+00,Baltimore City,Post Acute Care Center,5,27,,,,
5190,2020/05/06 14:00:00+00,Baltimore City,Roland Park Place,1,1,,,,
5191,2020/05/06 14:00:00+00,Baltimore City,Springwell Senior Living,4,4,,,,
5192,2020/05/06 14:00:00+00,Baltimore City,Symphony Manor Baltimore,0,2,,,,
5193,2020/05/06 14:00:00+00,Baltimore City,The Neighborhoods at St. Elizabeth Rehabilitation & Nursing Center,13,12,,,,
5194,2020/05/06 14:00:00+00,Baltimore City,Westgate Hills Rehabilitation & Healthcare Center,11,28,,,,
5195,2020/05/06 14:00:00+00,Baltimore City,Youth Detention Center,,,2,,0,
5196,2020/05/06 14:00:00+00,Baltimore County,Arden Court of Towson,2,16,,,,
5197,2020/05/06 14:00:00+00,Baltimore County,Atrium Village,6,16,,,,
5198,2020/05/06 14:00:00+00,Baltimore County,Autumn Lake Healthcare at Riverview,1,2,,,,
5199,2020/05/06 14:00:00+00,Baltimore County,Autumn Lake Pikesville,8,59,,,,
5200,2020/05/06 14:00:00+00,Baltimore County,Baltimore County Detention Center,,,2,6,,
5201,2020/05/06 14:00:00+00,Baltimore County,Brookdale Pikesville,6,17,,,,
5202,2020/05/06 14:00:00+00,Baltimore County,Chapel Hill Nursing and Rehabilitation Center,1,3,,,,
5203,2020/05/06 14:00:00+00,Baltimore County,"Charles H. Hickey, Jr. School",,,2,,,0
5204,2020/05/06 14:00:00+00,Baltimore County,Charlestown Senior Living Community,11,20,,,,
5205,2020/05/06 14:00:00+00,Baltimore County,Chesapeake Treatment Center,2,1,,,,
