DATE,COUNTY,FACILITY_NAME,"Staff:_Nursing,_Assisted_Living,_Group_Homes_Affected_Facilities","Residents:_Nursing,_Assisted_Living,_Group_Homes_Affected_Facilities",Staff:_State_and_Local_Affected_Facilities,Patients:_State_and_Local_Affected_Facilities,Inmates:_State_and_Local_Affected_Facilities,Youth:_State_and_Local_Affected_Facilities,OBJECTID
4/29/2020,Anne Arundel,Jessup Correctional Institution *Including Baltimore Pretrial Complex (BPFJ),N/A,N/A,43,N/A,17,N/A,18
4/29/2020,Anne Arundel,Marley Neck Health and Rehabilitation Center,5,9,N/A,N/A,N/A,N/A,19
4/29/2020,Anne Arundel,Maryland Correctional Institution - Jessup,N/A,N/A,13,N/A,2,N/A,20
4/29/2020,Anne Arundel,Maryland Correctional Institution for Women,N/A,N/A,27,N/A,11,N/A,21
4/29/2020,Anne Arundel,North Arundel Health and Rehabilitation Center,8,7,N/A,N/A,N/A,N/A,22
4/29/2020,Anne Arundel,Ordnance Road Detention Center,N/A,N/A,1,0,N/A,N/A,23
4/29/2020,Anne Arundel,Patuxent Institution *Including Correctional Mental Health Center-Jessup,N/A,N/A,27,N/A,15,N/A,24
4/29/2020,Anne Arundel,South River Healthcare Center,12,19,N/A,N/A,N/A,N/A,25
4/29/2020,Anne Arundel,Spa Creek Center,0,1,N/A,N/A,N/A,N/A,26
4/29/2020,Anne Arundel,Sunrise of Severna Park,0,2,N/A,N/A,N/A,N/A,27
4/29/2020,Anne Arundel,Thomas J.S. Waxter Children's Center,N/A,N/A,0,N/A,N/A,0,28
4/29/2020,Baltimore City,Autumn Lake Healthcare at Bridgepark,0,2,N/A,N/A,N/A,N/A,29
4/29/2020,Baltimore City,Baltimore Central Booking and Intake Center,N/A,N/A,8,N/A,0,N/A,30
4/29/2020,Baltimore City,Baltimore City Correctional Center,N/A,N/A,1,N/A,0,N/A,31
4/29/2020,Baltimore City,Baltimore City Juvenile Justice Center,N/A,N/A,4,N/A,N/A,0,32
4/29/2020,Baltimore City,Brockbridge Correctional Facility *currently being repurposed,N/A,N/A,0,N/A,0,N/A,33
4/29/2020,Baltimore City,Chesapeake Detention Facility (Formerly MCAC),N/A,N/A,2,N/A,0,N/A,34
4/29/2020,Baltimore City,Esther's Place at Pinewood,1,8,N/A,N/A,N/A,N/A,35
4/29/2020,Baltimore City,Esther's Place At the Park,6,19,N/A,N/A,N/A,N/A,36
4/29/2020,Baltimore City,Future Care Charles Village,8,69,N/A,N/A,N/A,N/A,37
4/29/2020,Baltimore City,Future Care Irvington,3,20,N/A,N/A,N/A,N/A,38
4/29/2020,Baltimore City,FutureCare Canton Harbor,4,10,N/A,N/A,N/A,N/A,39
4/29/2020,Baltimore City,FutureCare Cold Spring,13,36,N/A,N/A,N/A,N/A,40
4/29/2020,Baltimore City,FutureCare Good Samaritan,10,24,N/A,N/A,N/A,N/A,41
4/29/2020,Baltimore City,FutureCare Homewood,3,0,N/A,N/A,N/A,N/A,42
4/29/2020,Baltimore City,FutureCare Lochearn,66,154,N/A,N/A,N/A,N/A,43
4/29/2020,Baltimore City,Genesis Long Green Center,1,1,N/A,N/A,N/A,N/A,44
4/29/2020,Baltimore City,Keswick Multi-Care Center,3,9,N/A,N/A,N/A,N/A,45
4/29/2020,Baltimore City,Levindale Hebrew Geriatric Center and Hospital,29,52,N/A,N/A,N/A,N/A,46
4/29/2020,Baltimore City,Manor Care Roland Park,2,2,N/A,N/A,N/A,N/A,47
4/29/2020,Baltimore City,"Maryland Reception, Diagnostic and Classification Center",N/A,N/A,27,N/A,3,N/A,48
4/29/2020,Baltimore City,Metropolitan Transition Center,N/A,N/A,22,N/A,1,N/A,49
4/29/2020,Baltimore City,Nursing and Rehab Center at Stadium Place,1,1,N/A,N/A,N/A,N/A,50
4/29/2020,Baltimore City,Peak Health Caton Manor,6,28,N/A,N/A,N/A,N/A,51
4/29/2020,Baltimore City,Post Acute Care Center,5,27,N/A,N/A,N/A,N/A,52
4/29/2020,Baltimore City,Roland Park Place,1,1,N/A,N/A,N/A,N/A,53
4/29/2020,Baltimore City,Symphony Manor Baltimore,0,2,N/A,N/A,N/A,N/A,54
4/29/2020,Baltimore City,The Neighborhoods at St. Elizabeth Rehabilitation & Nursing Center,4,11,N/A,N/A,N/A,N/A,55
4/29/2020,Baltimore City,Westgate Hills Rehabilitation & Healthcare Center,6,14,N/A,N/A,N/A,N/A,56
4/29/2020,Baltimore City,Youth Detention Center,N/A,N/A,2,N/A,0,N/A,57
4/29/2020,Baltimore County,Arden Court of Towson,0,3,N/A,N/A,N/A,N/A,58
4/29/2020,Baltimore County,Atrium Village,6,16,N/A,N/A,N/A,N/A,59
4/29/2020,Baltimore County,Autumn Lake Healthcare at Riverview,1,1,N/A,N/A,N/A,N/A,60
4/29/2020,Baltimore County,Autumn Lake Pikesville,7,59,N/A,N/A,N/A,N/A,61
4/29/2020,Baltimore County,Baltimore County Detention Center,N/A,N/A,2,6,N/A,N/A,62
4/29/2020,Baltimore County,Chapel Hill Nursing and Rehabilitation Center,1,0,N/A,N/A,N/A,N/A,63
4/29/2020,Baltimore County,"Charles H. Hickey, Jr. School",N/A,N/A,1,N/A,N/A,0,64
4/29/2020,Baltimore County,Charlestown Senior Living Community,6,1,N/A,N/A,N/A,N/A,65
4/29/2020,Baltimore County,Chesapeake Treatment Center,1,1,N/A,N/A,N/A,N/A,66
4/29/2020,Baltimore County,Forest Haven Nursing & Rahab Center,0,1,N/A,N/A,N/A,N/A,67
4/29/2020,Baltimore County,Frederick Villa Nursing and Rehabilitation Center,33,67,N/A,N/A,N/A,N/A,68
4/29/2020,Baltimore County,Futurecare Cherrywood,8,15,N/A,N/A,N/A,N/A,69
4/29/2020,Baltimore County,FutureCare Courtland,6,11,N/A,N/A,N/A,N/A,70
4/29/2020,Baltimore County,FutureCare Northpoint,1,2,N/A,N/A,N/A,N/A,71
4/29/2020,Baltimore County,FutureCare Old Court,37,72,N/A,N/A,N/A,N/A,72
4/29/2020,Baltimore County,Genesis Catonsville Commons,4,12,N/A,N/A,N/A,N/A,73
4/29/2020,Baltimore County,Genesis Cromwell Center,6,25,N/A,N/A,N/A,N/A,74
4/29/2020,Baltimore County,Genesis Loch Raven,18,69,N/A,N/A,N/A,N/A,75
4/29/2020,Baltimore County,Genesis Multi-Medical Center,1,0,N/A,N/A,N/A,N/A,76
4/29/2020,Baltimore County,Heritage Center Genesis Eldercare,5,15,N/A,N/A,N/A,N/A,77
4/29/2020,Baltimore County,King David Nursing and Rehabilitation Center,2,0,N/A,N/A,N/A,N/A,78
4/29/2020,Baltimore County,Lorien Mays Chapel,1,0,N/A,N/A,N/A,N/A,79
4/29/2020,Baltimore County,ManorCare Health Services- Rossville,9,32,N/A,N/A,N/A,N/A,80
4/29/2020,Baltimore County,ManorCare Health Services- Towson,6,4,N/A,N/A,N/A,N/A,81
4/29/2020,Baltimore County,Maria Health Care Center,2,0,N/A,N/A,N/A,N/A,82
4/29/2020,Baltimore County,Maryland Masonic Homes,10,18,N/A,N/A,N/A,N/A,83
4/29/2020,Baltimore County,Meadow Park Rehabilitation and Healthcare,15,18,N/A,N/A,N/A,N/A,84
4/29/2020,Baltimore County,New Life Health Living,2,4,N/A,N/A,N/A,N/A,85
4/29/2020,Baltimore County,Oak Crest,11,13,N/A,N/A,N/A,N/A,86
4/29/2020,Baltimore County,Oakwood Care Center,0,3,N/A,N/A,N/A,N/A,87
4/29/2020,Baltimore County,Orchard Hill Health and Rehab,5,11,N/A,N/A,N/A,N/A,88
4/29/2020,Baltimore County,Patapsco Valley Center,7,23,N/A,N/A,N/A,N/A,89
4/29/2020,Baltimore County,Ridgeway Manor,1,2,N/A,N/A,N/A,N/A,90
4/29/2020,Baltimore County,Spring Grove Psychiatric Hospital,N/A,N/A,10,22,N/A,N/A,91
4/29/2020,Baltimore County,Stella Maris,8,12,N/A,N/A,N/A,N/A,92
4/29/2020,Baltimore County,Summit Park Health & Rehabilitation Center,4,2,N/A,N/A,N/A,N/A,93
4/29/2020,Baltimore County,Sunrise of Pikesville,1,0,N/A,N/A,N/A,N/A,94
4/29/2020,Baltimore County,Village at Augsburg,7,14,N/A,N/A,N/A,N/A,95
4/29/2020,Calvert,Calvert County Nursing Center,2,0,N/A,N/A,N/A,N/A,96
4/29/2020,Carroll,Carroll Lutheran Village,11,38,N/A,N/A,N/A,N/A,97
4/29/2020,Carroll,Central Maryland Correctional Facility (Formerly CLF),N/A,N/A,0,N/A,0,N/A,98
4/29/2020,Carroll,Fairhaven,4,18,N/A,N/A,N/A,N/A,99
4/29/2020,Carroll,Pleasant View Nursing Home,41,83,N/A,N/A,N/A,N/A,100
4/29/2020,Carroll,Springfield Hospital Center,N/A,N/A,3,0,N/A,N/A,101
4/29/2020,Carroll,Sun Valley Assisted Living,7,16,N/A,N/A,N/A,N/A,102
4/29/2020,Carroll,Westminster Healthcare Center,6,48,N/A,N/A,N/A,N/A,103
4/29/2020,Cecil,Calvert Manor Healthcare Center,16,53,N/A,N/A,N/A,N/A,104
4/29/2020,Charles,Charles County Detention Center,N/A,N/A,2,1,N/A,N/A,105
4/29/2020,Charles,Genesis Waldorf,1,0,N/A,N/A,N/A,N/A,106
4/29/2020,Charles,Restore Health Rehabilitation Center,3,7,N/A,N/A,N/A,N/A,107
4/29/2020,Charles,Sagepoint Nursing & Rehabilitation,32,97,N/A,N/A,N/A,N/A,108
4/29/2020,Charles,The Charleston Senior Community,0,9,N/A,N/A,N/A,N/A,109
4/29/2020,Charles County,Genesis La Plata,4,0,N/A,N/A,N/A,N/A,110
4/29/2020,Frederick,Ballenger Creek - Genesis Healthcare,39,84,N/A,N/A,N/A,N/A,111
4/29/2020,Frederick,Citizens Care and Rehabilitation Center of Frederick,7,11,N/A,N/A,N/A,N/A,112
4/29/2020,Frederick,Country Meadows of Frederick,18,23,N/A,N/A,N/A,N/A,113
4/29/2020,Frederick,Edenton Retirement Community,1,0,N/A,N/A,N/A,N/A,114
4/29/2020,Frederick,Frederick Health and Rehabilitation Center,20,26,N/A,N/A,N/A,N/A,115
4/29/2020,Frederick,Glade Valley Center - Genesis Healthcare,2,0,N/A,N/A,N/A,N/A,116
4/29/2020,Frederick,HeartFields Assisted Living at Frederick,18,9,N/A,N/A,N/A,N/A,117
4/29/2020,Frederick,Homewood at Frederick,23,17,N/A,N/A,N/A,N/A,118
4/29/2020,Frederick,Northampton Manor Nursing and Rehabilitation Center,13,30,N/A,N/A,N/A,N/A,119
4/29/2020,Frederick,Somerford House Frederick,5,1,N/A,N/A,N/A,N/A,120
4/29/2020,Frederick,Tranquility of Frederickstowne,2,2,N/A,N/A,N/A,N/A,121
4/29/2020,Frederick,Victor Cullen Center/Savage Mountain Youth Center,N/A,N/A,0,N/A,N/A,0,122
4/29/2020,Garrett,Backbone Mountain Youth Center,N/A,N/A,0,N/A,N/A,0,123
4/29/2020,Garrett,Meadow Mountain Youth Center,N/A,N/A,0,N/A,N/A,0,124
4/29/2020,Harford,Bel Air Health and Rehabilitation Center,9,20,N/A,N/A,N/A,N/A,125
4/29/2020,Harford,Forest Hill Health & Rehab Center,20,62,N/A,N/A,N/A,N/A,126
4/29/2020,Howard,Arbor Terrace Fulton,2,0,N/A,N/A,N/A,N/A,127
4/29/2020,Howard,Ellicott City Healthcare Center,29,89,N/A,N/A,N/A,N/A,128
4/29/2020,Howard,Howard County Detention Center,N/A,N/A,1,0,N/A,N/A,129
4/29/2020,Howard,Lorien Columbia,2,6,N/A,N/A,N/A,N/A,130
4/29/2020,Howard,Lorien Elkridge,0,8,N/A,N/A,N/A,N/A,131
4/29/2020,Howard,Residences at Vantage Point,3,3,N/A,N/A,N/A,N/A,132
4/29/2020,Howard,Sunrise of Columbia,5,11,N/A,N/A,N/A,N/A,133
4/29/2020,Kent,Autumn Lake Kent County,9,52,N/A,N/A,N/A,N/A,134
4/29/2020,Kent,The Resort at Chester Manor,1,5,N/A,N/A,N/A,N/A,135
4/29/2020,Montgomery,Alfred D. Noyes Children's Center,N/A,N/A,3,N/A,N/A,0,136
4/29/2020,Montgomery,Alfred House,0,8,N/A,N/A,N/A,N/A,137
4/29/2020,Montgomery,Althea Woodland,5,9,N/A,N/A,N/A,N/A,138
4/29/2020,Montgomery,Arcola Health and Rehabilitation Center,11,11,N/A,N/A,N/A,N/A,139
4/29/2020,Montgomery,Arden Courts of Potomac,4,17,N/A,N/A,N/A,N/A,140
4/29/2020,Montgomery,Autumn Lake Healthcare at Oakview,4,39,N/A,N/A,N/A,N/A,141
4/29/2020,Montgomery,Bedford Court,2,1,N/A,N/A,N/A,N/A,142
4/29/2020,Montgomery,Bel Pre Healthcare Center,1,7,N/A,N/A,N/A,N/A,143
4/29/2020,Montgomery,Bethesda Health and Rehab,15,15,N/A,N/A,N/A,N/A,144
4/29/2020,Montgomery,Brighton Gardens of Tuckerman Lane,16,24,N/A,N/A,N/A,N/A,145
4/29/2020,Montgomery,Brightview Fallsgrove-Rockville Senior Assisted Living and Memory Care,4,2,N/A,N/A,N/A,N/A,146
4/29/2020,Montgomery,Brightview West End - Brightview Senior Living,5,3,N/A,N/A,N/A,N/A,147
4/29/2020,Montgomery,Brooke Grove Retirement Community,15,27,N/A,N/A,N/A,N/A,148
4/29/2020,Montgomery,"Cadia Healthcare of Springbrook, MD",15,13,N/A,N/A,N/A,N/A,149
4/29/2020,Montgomery,Cadia Healthcare Wheaton,4,13,N/A,N/A,N/A,N/A,150
4/29/2020,Montgomery,Carriage Hill,14,12,N/A,N/A,N/A,N/A,151
4/29/2020,Montgomery,Cedar Creek Memory Care Homes- Maple Ridge,9,5,N/A,N/A,N/A,N/A,152
4/29/2020,Montgomery,Collingswood Rehabilitation and Healthcare Center,10,15,N/A,N/A,N/A,N/A,153
4/29/2020,Montgomery,Fox Chase Rehabilitation & Nursing,3,9,N/A,N/A,N/A,N/A,154
4/29/2020,Montgomery,Friends House Retirement Community,12,14,N/A,N/A,N/A,N/A,155
4/29/2020,Montgomery,Hebrew Home of Greater Washington,17,20,N/A,N/A,N/A,N/A,156
4/29/2020,Montgomery,Ingleside at King Farm,2,1,N/A,N/A,N/A,N/A,157
4/29/2020,Montgomery,Kensington Healthcare Center,8,39,N/A,N/A,N/A,N/A,158
4/29/2020,Montgomery,Kensington Park,19,24,N/A,N/A,N/A,N/A,159
4/29/2020,Montgomery,Layhill Center,3,10,N/A,N/A,N/A,N/A,160
4/29/2020,Montgomery,Manor Care Silver Spring,17,58,N/A,N/A,N/A,N/A,161
4/29/2020,Montgomery,Manor Care Wheaton,12,56,N/A,N/A,N/A,N/A,162
4/29/2020,Montgomery,ManorCare Health Services - Chevy Chase,3,5,N/A,N/A,N/A,N/A,163
4/29/2020,Montgomery,ManorCare Health Services Bethesda,2,2,N/A,N/A,N/A,N/A,164
4/29/2020,Montgomery,ManorCare Potomac,10,11,N/A,N/A,N/A,N/A,165
4/29/2020,Montgomery,"Maplewood of Park Place, Sunrise Senior Living",3,2,N/A,N/A,N/A,N/A,166
4/29/2020,Montgomery,Montgomery Village Health Care Center,11,32,N/A,N/A,N/A,N/A,167
4/29/2020,Montgomery,Oak Manor Center,5,8,N/A,N/A,N/A,N/A,168
4/29/2020,Montgomery,Olney Memory Care,1,1,N/A,N/A,N/A,N/A,169
4/29/2020,Montgomery,Potomac Valley Rehabilitation and Healthcare Center,10,18,N/A,N/A,N/A,N/A,170
4/29/2020,Montgomery,Regency Care of Silver Spring,30,50,N/A,N/A,N/A,N/A,171
4/29/2020,Montgomery,Rockville Nursing Home,15,36,N/A,N/A,N/A,N/A,172
4/29/2020,Montgomery,Seabury at Springvale Terrace,0,1,N/A,N/A,N/A,N/A,173
4/29/2020,Montgomery,Shady Grove Center for Nursing & Rehabilitation,6,3,N/A,N/A,N/A,N/A,174
4/29/2020,Montgomery,Sligo Creek Center - Genesis Healthcare,2,5,N/A,N/A,N/A,N/A,175
4/29/2020,Montgomery,Sunrise at Montgomery Village,0,1,N/A,N/A,N/A,N/A,176
4/29/2020,Montgomery,Sunrise of Chevy Chase,4,4,N/A,N/A,N/A,N/A,177
4/29/2020,Montgomery,Sunrise of Rockville,3,0,N/A,N/A,N/A,N/A,178
4/29/2020,Montgomery,Sunrise Senior Living in Bethesda,0,1,N/A,N/A,N/A,N/A,179
4/29/2020,Montgomery,Sunrise Senior Living - Sunrise at Fox Hill,5,4,N/A,N/A,N/A,N/A,180
4/29/2020,Montgomery,The Landing of Silver Spring,9,13,N/A,N/A,N/A,N/A,181
4/29/2020,Montgomery,Tribute at Black Hill,7,4,N/A,N/A,N/A,N/A,182
4/29/2020,Montgomery,Village at Rockville,13,17,N/A,N/A,N/A,N/A,183
4/29/2020,Montgomery,Wilson Health Care Center at Asbury Methodist Village,16,47,N/A,N/A,N/A,N/A,184
4/29/2020,Prince George's,Adelphi Nursing and Rehabilitation,9,23,N/A,N/A,N/A,N/A,185
4/29/2020,Prince George's,Autumn Lake Healthcare at Cherry Lane,9,0,N/A,N/A,N/A,N/A,186
4/29/2020,Prince George's,Bradford Oaks Center,5,0,N/A,N/A,N/A,N/A,187
4/29/2020,Prince George's,Brookdale Woodward Estates,2,5,N/A,N/A,N/A,N/A,188
4/29/2020,Prince George's,Cadia Hyattsville,9,13,N/A,N/A,N/A,N/A,189
4/29/2020,Prince George's,Cheltenham Youth Detention Center,N/A,N/A,0,N/A,N/A,0,190
4/29/2020,Prince George's,Clinton Nursing and Rehabilitation Center,26,18,N/A,N/A,N/A,N/A,191
4/29/2020,Prince George's,Collington,0,2,N/A,N/A,N/A,N/A,192
4/29/2020,Prince George's,Crescent Cities,2,2,N/A,N/A,N/A,N/A,193
4/29/2020,Prince George's,Doctors Community Rehabilitation and Patient Care Center,2,17,N/A,N/A,N/A,N/A,194
4/29/2020,Prince George's,Forestville Healthcare Center,9,15,N/A,N/A,N/A,N/A,195
4/29/2020,Prince George's,Future Care Capitol Region,8,20,N/A,N/A,N/A,N/A,196
4/29/2020,Prince George's,Future Care Pineview,5,1,N/A,N/A,N/A,N/A,197
4/29/2020,Prince George's,FutureCare Pineview,1,1,N/A,N/A,N/A,N/A,198
4/29/2020,Prince George's,"Hillhaven Assisted Living, Nursing and Rehabilitation Center",12,30,N/A,N/A,N/A,N/A,199
4/29/2020,Prince George's,Hyattsville Health and Rehab,9,24,N/A,N/A,N/A,N/A,200
4/29/2020,Prince George's,Largo Nursing & Rehabilitation Center,1,1,N/A,N/A,N/A,N/A,201
4/29/2020,Prince George's,Larkin Chase Center,17,60,N/A,N/A,N/A,N/A,202
4/29/2020,Prince George's,Patuxent River Health and Rehabilitation Center,8,5,N/A,N/A,N/A,N/A,203
4/29/2020,Prince George's,Prince George's County Jail,N/A,N/A,31,19,N/A,N/A,204
4/29/2020,Prince George's,Riderwood - Arbor Ridge,36,47,N/A,N/A,N/A,N/A,205
4/29/2020,Prince George's,The W Assisted LIving,0,2,N/A,N/A,N/A,N/A,206
4/29/2020,Prince George's,Villa Rosa Nursing & Rehabilitation Center,3,10,N/A,N/A,N/A,N/A,207
4/29/2020,Queen Anne's,Corsica Hills Center,3,0,N/A,N/A,N/A,N/A,208
4/29/2020,Queen Anne's,Eastern Pre-Release Unit,N/A,N/A,0,N/A,0,N/A,209
4/29/2020,Somerset,Eastern Correctional Institution,N/A,N/A,1,N/A,0,N/A,210
4/29/2020,Somerset,Eastern Correctional Institution Annex,N/A,N/A,0,N/A,0,N/A,211
4/29/2020,St. Mary's,Charlotte Hall Veterans Home,6,12,N/A,N/A,N/A,N/A,212
4/29/2020,St. Mary's,Chesapeake Shores,1,0,N/A,N/A,N/A,N/A,213
4/29/2020,St. Mary's,Southern Maryland Pre-Release Unit,N/A,N/A,0,N/A,0,N/A,214
4/29/2020,Washington,Diakon Senior Living - Hagerstown Robinwood Campus,1,0,N/A,N/A,N/A,N/A,215
4/29/2020,Washington,Homewood Hilltop,1,3,N/A,N/A,N/A,N/A,216
4/29/2020,Washington,Maryland Correctional Institution - Hagerstown,N/A,N/A,0,N/A,0,N/A,217
4/29/2020,Washington,Maryland Correctional Training Center,N/A,N/A,2,N/A,0,N/A,218
4/29/2020,Washington,Roxbury Correctional Institution,N/A,N/A,0,N/A,1,N/A,219
4/29/2020,Washington,Sterling Care South Mountain,4,3,N/A,N/A,N/A,N/A,220
4/29/2020,Washington,Western Maryland Children's Center,N/A,N/A,0,N/A,N/A,0,221
4/29/2020,Wicomico,Anchorage Healthcare Center,0,3,N/A,N/A,N/A,N/A,222
4/29/2020,Wicomico,Lower Eastern Shore Children's Center/J. DeWeese Carter Center,N/A,N/A,1,N/A,N/A,0,223
4/29/2020,Wicomico,Salisbury Rehabilitation and Nursing Center,2,3,N/A,N/A,N/A,N/A,224
4/29/2020,Worcester,Berlin Nursing and Rehabilitation Center,2,3,N/A,N/A,N/A,N/A,225
4/29/2020,Worcester,Gull Creek,1,0,N/A,N/A,N/A,N/A,226
5/6/2020,Allegany,Cumberland Healthcare Center,24,64,N/A,N/A,N/A,N/A,227
5/6/2020,Allegany,Green Ridge Youth Center,N/A,N/A,0,N/A,N/A,0,228
5/6/2020,Allegany,North Branch Correctional Institution,N/A,N/A,1,N/A,0,N/A,229
5/6/2020,Allegany,Sterling Care Frostburg Village,1,0,N/A,N/A,N/A,N/A,230
5/6/2020,Allegany,Western Correctional Institution,N/A,N/A,2,N/A,0,N/A,231
5/6/2020,Anne Arundel,Arbor Terrace Waugh Chapel,2,3,N/A,N/A,N/A,N/A,232
5/6/2020,Anne Arundel,Atria Manresa,2,10,N/A,N/A,N/A,N/A,233
5/6/2020,Anne Arundel,Crofton Care and Rehabilitation,7,43,N/A,N/A,N/A,N/A,234
5/6/2020,Anne Arundel,Dorsey Run Correctional Facility,N/A,N/A,23,N/A,7,N/A,235
5/6/2020,Anne Arundel,Fairfield Nursing and Rehabilitation Center,24,28,N/A,N/A,N/A,N/A,236
5/6/2020,Anne Arundel,FutureCare Chesapeake,46,73,N/A,N/A,N/A,N/A,237
5/6/2020,Anne Arundel,Genesis Severna Park,1,3,N/A,N/A,N/A,N/A,238
5/6/2020,Anne Arundel,Genesis Waugh Chapel,16,41,N/A,N/A,N/A,N/A,239
5/6/2020,Anne Arundel,Ginger Cove,22,7,N/A,N/A,N/A,N/A,240
5/6/2020,Anne Arundel,Heritage Harbour Health and Rehabilitation Center,7,26,N/A,N/A,N/A,N/A,241
5/6/2020,Anne Arundel,Inspiration Memory Care Linthicum,7,22,N/A,N/A,N/A,N/A,242
5/6/2020,Anne Arundel,Jessup Correctional Institution *Including Baltimore Pretrial Complex (BPFJ),N/A,N/A,43,N/A,18,N/A,243
5/6/2020,Anne Arundel,Marley Neck Health and Rehabilitation Center,6,10,N/A,N/A,N/A,N/A,244
5/6/2020,Anne Arundel,Maryland Correctional Institution - Jessup,N/A,N/A,14,N/A,2,N/A,245
5/6/2020,Anne Arundel,Maryland Correctional Institution for Women,N/A,N/A,28,N/A,13,N/A,246
5/6/2020,Anne Arundel,North Arundel Health and Rehabilitation Center,17,12,N/A,N/A,N/A,N/A,247
5/6/2020,Anne Arundel,Ordnance Road Detention Center,N/A,N/A,1,0,N/A,N/A,248
5/6/2020,Anne Arundel,Patuxent Institution *Including Correctional Mental Health Center-Jessup,N/A,N/A,27,N/A,15,N/A,249
5/6/2020,Anne Arundel,South River Healthcare Center,12,57,N/A,N/A,N/A,N/A,250
5/6/2020,Anne Arundel,Spa Creek Center,0,2,N/A,N/A,N/A,N/A,251
5/6/2020,Anne Arundel,Thomas J.S. Waxter Children's Center,N/A,N/A,0,N/A,N/A,0,252
5/6/2020,Baltimore City,Arlington West Care Center,1,0,N/A,N/A,N/A,N/A,253
5/6/2020,Baltimore City,Autumn Lake at Alice Manor,2,0,N/A,N/A,N/A,N/A,254
5/6/2020,Baltimore City,Autumn Lake Healthcare at Bridgepark,0,7,N/A,N/A,N/A,N/A,255
5/6/2020,Baltimore City,Baltimore Central Booking and Intake Center,N/A,N/A,8,N/A,0,N/A,256
5/6/2020,Baltimore City,Baltimore City Correctional Center,N/A,N/A,1,N/A,0,N/A,257
5/6/2020,Baltimore City,Baltimore City Juvenile Justice Center,N/A,N/A,4,N/A,N/A,0,258
5/6/2020,Baltimore City,Blue Point Healthcare Center,0,1,N/A,N/A,N/A,N/A,259
5/6/2020,Baltimore City,Brockbridge Correctional Facility *currently being repurposed,N/A,N/A,0,N/A,0,N/A,260
5/6/2020,Baltimore City,Chesapeake Detention Facility (Formerly MCAC),N/A,N/A,2,N/A,0,N/A,261
5/6/2020,Baltimore City,Fayette Nursing and Rehabilitation,0,1,N/A,N/A,N/A,N/A,262
5/6/2020,Baltimore City,Future Care Charles Village,8,70,N/A,N/A,N/A,N/A,263
5/6/2020,Baltimore City,Future Care Irvington,14,37,N/A,N/A,N/A,N/A,264
5/6/2020,Baltimore City,FutureCare Canton Harbor,6,11,N/A,N/A,N/A,N/A,265
5/6/2020,Baltimore City,FutureCare Cold Spring,15,37,N/A,N/A,N/A,N/A,266
5/6/2020,Baltimore City,FutureCare Good Samaritan,10,25,N/A,N/A,N/A,N/A,267
5/6/2020,Baltimore City,FutureCare Homewood,3,0,N/A,N/A,N/A,N/A,268
5/6/2020,Baltimore City,FutureCare Lochearn,75,156,N/A,N/A,N/A,N/A,269
5/6/2020,Baltimore City,FutureCare Sandtown,3,0,N/A,N/A,N/A,N/A,270
5/6/2020,Baltimore City,Genesis Long Green Center,1,1,N/A,N/A,N/A,N/A,271
5/6/2020,Baltimore City,Keswick Multi-Care Center,3,8,N/A,N/A,N/A,N/A,272
