OBJECTID,DATE,Age_0_to_9,Age_10_to_19,Age_20_to_29,Age_30_to_39,Age_40_to_49,Age_50_to_59,Age_60_to_69,Age_70_to_79,Age_80plus,Age_Unknown
63,2020/05/30 14:00:00+00,1253,2264,7187,9671,9403,8484,6116,3932,3705,0
64,2020/05/31 14:00:00+00,1274,2319,7312,9815,9505,8596,6203,3986,3768,0
65,2020/06/01 14:00:00+00,1294,2351,7397,9938,9598,8671,6261,4014,3803,0
66,2020/06/02 14:00:00+00,1343,2403,7499,10085,9734,8793,6357,4080,3881,0
67,2020/06/03 14:00:00+00,1393,2473,7621,10225,9868,8879,6461,4134,3928,0
68,2020/06/04 14:00:00+00,1422,2538,7768,10375,10033,9006,6536,4190,3990,0
69,2020/06/05 14:00:00+00,1457,2604,7938,10569,10191,9142,6626,4234,4009,0
70,2020/06/06 14:00:00+00,1487,2648,8065,10702,10326,9239,6705,4272,4038,0
71,2020/06/07 14:00:00+00,1506,2689,8144,10803,10415,9298,6751,4304,4063,0
72,2020/06/08 14:00:00+00,1521,2723,8216,10901,10500,9365,6782,4323,4073,0
73,2020/06/09 14:00:00+00,1541,2750,8319,10979,10596,9438,6832,4360,4089,0
74,2020/06/10 14:00:00+00,1573,2791,8408,11089,10698,9522,6879,4389,4116,0
75,2020/06/11 14:00:00+00,1608,2839,8531,11238,10838,9611,6941,4429,4162,0
76,2020/06/12 14:00:00+00,1626,2879,8604,11321,10903,9670,6973,4450,4187,0
77,2020/06/13 14:00:00+00,1720,2958,8710,11417,10998,9746,7036,4485,4235,0
78,2020/06/14 14:00:00+00,1739,2993,8785,11502,11052,9797,7075,4510,4248,0
79,2020/06/15 14:00:00+00,1759,3018,8856,11577,11111,9841,7094,4521,4255,0
80,2020/06/16 14:00:00+00,1773,3036,8930,11655,11183,9894,7125,4546,4267,0
81,2020/06/17 14:00:00+00,1792,3068,9025,11737,11277,9975,7196,4590,4309,0
82,2020/06/18 14:00:00+00,1819,3102,9078,11788,11321,9998,7210,4600,4313,0
83,2020/06/19 14:00:00+00,1831,3123,9121,11838,11368,10058,7238,4627,4344,0
84,2020/06/20 14:00:00+00,1852,3163,9206,11919,11441,10123,7256,4639,4357,0
85,2020/06/21 14:00:00+00,1880,3190,9273,11984,11493,10176,7284,4655,4371,0
86,2020/06/22 14:00:00+00,1893,3216,9350,12029,11535,10224,7307,4667,4382,0
87,2020/06/23 14:00:00+00,1907,3248,9459,12128,11591,10265,7338,4678,4393,0
88,2020/06/24 14:00:00+00,1924,3268,9524,12204,11635,10317,7370,4696,4399,0
89,2020/06/25 14:00:00+00,1937,3307,9616,12290,11708,10376,7408,4717,4418,0
90,2020/06/26 14:00:00+00,1946,3334,9685,12360,11761,10424,7447,4726,4432,0
91,2020/06/27 14:00:00+00,1955,3368,9749,12431,11815,10479,7479,4736,4438,0
92,2020/06/28 14:00:00+00,1978,3408,9825,12484,11866,10521,7504,4748,4443,0
93,2020/06/29 14:00:00+00,2006,3461,9917,12569,11948,10587,7550,4764,4452,0
94,2020/06/30 14:00:00+00,2019,3481,9987,12625,11997,10634,7577,4777,4462,0
95,2020/07/01 14:00:00+00,2042,3508,10056,12692,12054,10683,7619,4791,4473,0
96,2020/07/02 14:00:00+00,2075,3558,10176,12811,12121,10731,7646,4819,4486,0
97,2020/07/03 14:00:00+00,2098,3605,10264,12890,12183,10810,7708,4882,4521,0
98,2020/07/04 14:00:00+00,2113,3637,10349,12969,12240,10864,7745,4893,4531,0
99,2020/07/05 14:00:00+00,2129,3672,10422,13017,12288,10890,7765,4903,4546,0
100,2020/07/06 14:00:00+00,2141,3700,10487,13069,12332,10926,7786,4913,4550,0
101,2020/07/07 14:00:00+00,2155,3737,10578,13161,12406,10982,7837,4952,4588,0
102,2020/07/08 14:00:00+00,2179,3786,10700,13255,12485,11031,7862,4967,4596,0
103,2020/07/09 14:00:00+00,2192,3827,10854,13355,12566,11136,7920,4980,4617,0
104,2020/07/10 14:00:00+00,2224,3879,10995,13441,12621,11177,7948,5005,4620,0
105,2020/07/11 14:00:00+00,2243,3922,11145,13557,12688,11246,7993,5039,4634,0
106,2020/07/12 14:00:00+00,2277,3975,11302,13695,12784,11323,8036,5066,4651,0
107,2020/07/13 14:00:00+00,2297,4019,11422,13765,12840,11380,8065,5081,4658,0
108,2020/07/14 14:00:00+00,2327,4084,11590,13905,12952,11467,8130,5119,4686,0
109,2020/07/15 14:00:00+00,2355,4146,11783,14028,13067,11571,8200,5156,4710,0
110,2020/07/16 14:00:00+00,2387,4207,11972,14183,13142,11639,8243,5173,4718,0
111,2020/07/17 14:00:00+00,2427,4267,12178,14309,13248,11727,8286,5192,4737,0
112,2020/07/18 14:00:00+00,2462,4352,12388,14466,13369,11832,8349,5226,4762,0
113,2020/07/19 14:00:00+00,2496,4430,12646,14662,13500,11937,8416,5255,4789,0
114,2020/07/20 14:00:00+00,2519,4486,12766,14768,13593,12023,8452,5277,4801,0
115,2020/07/21 14:00:00+00,2552,4563,12983,14969,13711,12144,8507,5302,4814,0
116,2020/07/22 14:00:00+00,2572,4613,13113,15065,13796,12210,8556,5363,4884,0
117,2020/07/23 14:00:00+00,2592,4669,13325,15191,13881,12287,8615,5387,4889,0
118,2020/07/24 14:00:00+00,2641,4750,13574,15387,14013,12395,8678,5419,4909,0
119,2020/07/25 14:00:00+00,2695,4863,13914,15630,14193,12560,8775,5468,4956,0
120,2020/07/26 14:00:00+00,2728,4927,14079,15779,14294,12644,8825,5496,4976,0
121,2020/07/27 14:00:00+00,2777,5034,14378,16006,14449,12795,8926,5523,4988,0
122,2020/07/28 14:00:00+00,2812,5112,14517,16122,14537,12879,8988,5552,5005,0
123,2020/07/29 14:00:00+00,2839,5187,14706,16258,14646,12988,9048,5586,5027,0
124,2020/07/30 14:00:00+00,2881,5299,14934,16432,14763,13068,9114,5640,5046,0
125,2020/07/31 14:00:00+00,2943,5434,15184,16662,14935,13243,9187,5700,5058,0
126,2020/08/01 14:00:00+00,2992,5536,15427,16837,15095,13371,9281,5748,5078,0
127,2020/08/02 14:00:00+00,3034,5624,15631,17006,15232,13506,9350,5796,5095,0
128,2020/08/03 14:00:00+00,3083,5720,15832,17180,15336,13625,9415,5835,5118,0
129,2020/08/04 14:00:00+00,3109,5797,15990,17303,15442,13733,9465,5878,5137,0
130,2020/08/05 14:00:00+00,3128,5852,16114,17395,15526,13821,9521,5908,5161,0
131,2020/08/06 14:00:00+00,3147,5930,16244,17492,15620,13898,9565,5927,5182,0
